Time [sec],Potentiometer [V]
0.00,2.8125
0.01,1.21094
0.02,0
0.03,0
0.04,1.55762
0.05,3.75
0.06,4.92188
0.07,4.99512
0.08,4.99512
0.09,4.6875
0.10,2.80762
0.11,1.21094
0.12,0.292969
0.13,0
0.14,1.55762
0.15,3.75
0.16,4.92188
0.17,4.99512
0.18,4.99512
0.19,4.6875
0.20,2.80762
0.21,1.21094
0.22,0.273438
0.23,0.3125
0.24,1.55762
0.25,3.75
0.26,4.92188
0.27,4.99512
0.28,4.99512
0.29,4.6875
0.30,2.5
0.31,1.23047
0.32,0.292969
0.33,0
0.34,1.54297
0.35,3.75
0.36,4.92188
0.37,4.99512
0.38,4.99512
0.39,4.6875
0.40,2.80762
0.41,0
0.42,0.292969
0.43,0
0.44,1.54297
0.45,3.75
0.46,4.92188
0.47,4.99512
0.48,4.99512
0.49,4.6875
0.50,2.51465
0.51,1.23047
0.52,0
0.53,0.3125
0.54,1.54297
0.55,3.75
0.56,4.92188
0.57,4.99512
0.58,4.99512
0.59,4.6875
0.60,2.84668
0.61,1.23047
0.62,0.292969
0.63,0
0.64,1.54297
0.65,3.75
0.66,4.92188
0.67,4.99512
0.68,4.99512
0.69,4.6875
0.70,2.84668
0.71,1.23047
0.72,0
0.73,0.3125
0.74,1.52344
0.75,3.75
0.76,4.92188
0.77,4.99512
0.78,4.99512
0.79,4.6875
0.80,2.53418
0.81,1.24023
0.82,0.292969
0.83,0.3125
0.84,1.52344
0.85,3.75
0.86,4.84375
0.87,4.99512
0.88,4.99512
0.89,4.6875
0.90,2.84668
0.91,1.24023
0.92,0
0.93,0.3125
0.94,1.52344
0.95,3.75
0.96,4.84375
0.97,4.99512
0.98,4.99512
0.99,4.6875
1.00,2.8125
1.01,1.24512
1.02,0
1.03,0.3125
1.04,1.52344
1.05,3.75
1.06,4.84375
1.07,4.99512
1.08,4.99512
1.09,4.6875
1.10,2.88574
1.11,0
1.12,0.292969
1.13,0.46875
1.14,1.48438
1.15,3.75
1.16,4.84375
1.17,4.99512
1.18,4.99512
1.19,4.6875
1.20,2.88574
1.21,0
1.22,0.292969
1.23,0.46875
1.24,1.48438
1.25,3.75
1.26,4.92188
1.27,4.99512
1.28,4.99512
1.29,4.6875
1.30,2.81738
1.31,1.24512
1.32,0.292969
1.33,0
1.34,1.48438
1.35,2.5
1.36,4.84375
1.37,4.99512
1.38,4.99512
1.39,4.6875
1.40,2.88574
1.41,1.24512
1.42,0.302734
1.43,0
1.44,1.48438
1.45,3.75
1.46,4.84375
1.47,4.99512
1.48,4.99512
1.49,4.6875
1.50,2.88574
1.51,1.24512
1.52,0.302734
1.53,0
1.54,1.4209
1.55,3.75
1.56,4.84375
1.57,4.99512
1.58,4.99512
1.59,4.6875
1.60,2.92969
1.61,0.00488281
1.62,0
1.63,0.3125
1.64,1.4209
1.65,3.75
1.66,4.84375
1.67,4.99512
1.68,4.99512
1.69,4.6875
1.70,2.8125
1.71,1.24512
1.72,0
1.73,0
1.74,1.40137
1.75,2.5
1.76,4.84375
1.77,4.99512
1.78,4.99512
1.79,4.6875
1.80,2.96875
1.81,1.24512
1.82,0.302734
1.83,0
1.84,1.40137
1.85,2.5
1.86,4.84375
1.87,4.99512
1.88,4.99512
1.89,4.6875
1.90,2.96875
1.91,1.24512
1.92,0.302734
1.93,0
1.94,1.40137
1.95,2.5
1.96,4.84375
1.97,4.99512
1.98,4.99512
1.99,4.6875
