Program Started
I AM THE MPU6050
Time (s),ENCODER_RIGHT,ax (g),az (g),gy (d/s)
0,0,16526,-2040,28
0.005,0,16526,-2040,28
0.01,0,16526,-2040,28
0.015,0,16526,-2040,28
0.02,0,16526,-2040,28
0.025,0,16526,-2040,28
0.03,0,16526,-2040,28
0.035,0,16526,-2040,28
0.04,0,16526,-2040,28
0.045,0,16526,-2040,28
0.05,0,16526,-2040,28
0.055,0,16526,-2040,28
0.06,0,16526,-2040,28
0.065,0,16526,-2040,28
0.07,0,16526,-2040,28
0.075,0,16526,-2040,28
0.08,0,16526,-2040,28
0.085,0,16526,-2040,28
0.09,0,16542,-2134,-17
0.095,0,16542,-2134,-17
0.1,0,16542,-2134,-17
0.105,0,16542,-2134,-17
0.11,0,16542,-2134,-17
0.115,0,16542,-2134,-17
0.12,0,16542,-2134,-17
0.125,0,16542,-2134,-17
0.13,0,16542,-2134,-17
0.135,0,16542,-2134,-17
0.14,0,16542,-2134,-17
0.145,0,16542,-2134,-17
0.15,0,16542,-2134,-17
0.155,0,16542,-2134,-17
0.16,0,16542,-2134,-17
0.165,0,16542,-2134,-17
0.17,0,16542,-2134,-17
0.175,0,16542,-2134,-17
0.18,0,16542,-2134,-17
0.185,0,16542,-2134,-17
0.19,0,16558,-2276,1
0.195,0,16558,-2276,1
0.2,0,16558,-2276,1
0.205,0,16558,-2276,1
0.21,0,16558,-2276,1
0.215,0,16558,-2276,1
0.22,0,16558,-2276,1
0.225,0,16558,-2276,1
0.23,0,16558,-2276,1
0.235,0,16558,-2276,1
0.24,0,16558,-2276,1
0.245,0,16558,-2276,1
0.25,0,16558,-2276,1
0.255,0,16558,-2276,1
0.26,0,16558,-2276,1
0.265,0,16558,-2276,1
0.27,0,16558,-2276,1
0.275,0,16558,-2276,1
0.28,0,16558,-2276,1
0.285,0,16558,-2276,1
0.29,0,16518,-2186,2
0.295,0,16518,-2186,2
0.3,0,16518,-2186,2
0.305,0,16518,-2186,2
0.31,0,16518,-2186,2
0.315,0,16518,-2186,2
0.32,0,16518,-2186,2
0.325,0,16518,-2186,2
0.33,0,16518,-2186,2
0.335,0,16518,-2186,2
0.34,0,16518,-2186,2
0.345,0,16518,-2186,2
0.35,0,16518,-2186,2
0.355,0,16518,-2186,2
0.36,0,16518,-2186,2
0.365,0,16518,-2186,2
0.37,0,16518,-2186,2
0.375,0,16518,-2186,2
0.38,0,16518,-2186,2
0.385,0,16518,-2186,2
0.39,0,16562,-2184,-13
0.395,0,16562,-2184,-13
0.4,0,16562,-2184,-13
0.405,0,16562,-2184,-13
0.41,0,16562,-2184,-13
0.415,0,16562,-2184,-13
0.42,0,16562,-2184,-13
0.425,0,16562,-2184,-13
0.43,0,16562,-2184,-13
0.435,0,16562,-2184,-13
0.44,0,16562,-2184,-13
0.445,0,16562,-2184,-13
0.45,0,16562,-2184,-13
0.455,0,16562,-2184,-13
0.46,0,16562,-2184,-13
0.465,0,16562,-2184,-13
0.47,0,16562,-2184,-13
0.475,0,16562,-2184,-13
0.48,0,16562,-2184,-13
0.485,0,16562,-2184,-13
0.49,0,16564,-2276,-7
0.495,0,16564,-2276,-7
0.5,0,16564,-2276,-7
0.505,0,16564,-2276,-7
0.51,0,16564,-2276,-7
0.515,0,16564,-2276,-7
0.52,0,16564,-2276,-7
0.525,0,16564,-2276,-7
0.53,0,16564,-2276,-7
0.535,0,16564,-2276,-7
0.54,0,16564,-2276,-7
0.545,0,16564,-2276,-7
