Time(s), V(V),Encoder,ADC
0,-6,0,1
0.005,-5.9058,0,1
0.01,-5.8115,0,1
0.015,-5.7174,-1,-256
0.02,-5.6233,-2,-256
0.025,-5.5293,-3,-256
0.03,-5.4354,-5,-220
0.035,-5.3416,-7,-220
0.04,-5.248,-9,-220
0.045,-5.1546,-12,-220
0.05,-5.0614,-15,-224
0.055,-4.9685,-18,-224
0.06,-4.8757,-21,-224
0.065,-4.7833,-25,-224
0.07,-4.6912,-29,-177
0.075,-4.5994,-33,-177
0.08,-4.5079,-38,-177
0.085,-4.4168,-43,-159
0.09,-4.3261,-48,-159
0.095,-4.2358,-53,-159
0.1,-4.146,-58,-159
0.105,-4.0566,-63,-152
0.11,-3.9676,-69,-152
0.115,-3.8792,-75,-152
0.12,-3.7913,-81,-127
0.125,-3.704,-87,-127
0.13,-3.6172,-93,-127
0.135,-3.531,-99,-127
0.14,-3.4454,-105,-124
0.145,-3.3604,-111,-124
0.15,-3.2761,-118,-124
0.155,-3.1925,-124,-120
0.16,-3.1096,-131,-120
0.165,-3.0273,-138,-120
0.17,-2.9458,-144,-120
0.175,-2.8651,-151,-112
0.18,-2.7851,-158,-112
0.185,-2.7059,-165,-112
0.19,-2.6276,-172,-112
0.195,-2.5501,-179,-112
0.2,-2.4734,-186,-112
0.205,-2.3976,-193,-112
0.21,-2.3227,-201,-96
0.215,-2.2486,-208,-96
0.22,-2.1756,-215,-96
0.225,-2.1034,-222,-63
0.23,-2.0322,-229,-63
0.235,-1.962,-237,-63
0.24,-1.8928,-244,-63
0.245,-1.8246,-251,-79
0.25,-1.7575,-259,-79
0.255,-1.6913,-266,-79
0.26,-1.6263,-273,-79
0.265,-1.5623,-281,-56
0.27,-1.4994,-288,-56
0.275,-1.4377,-295,-56
0.28,-1.377,-303,-63
0.285,-1.3175,-310,-63
0.29,-1.2592,-317,-63
0.295,-1.202,-324,-63
0.3,-1.146,-331,-60
0.305,-1.0912,-339,-60
0.31,-1.0376,-346,-60
0.315,-0.98525,-353,-60
0.32,-0.93413,-360,-60
0.325,-0.88426,-367,-60
0.33,-0.83564,-374,-60
0.335,-0.7883,-381,-56
0.34,-0.74225,-389,-56
0.345,-0.6975,-395,-56
