Time(s),Encoder,ADC
0,0,0.0019531
0.01,-1,0.0019531
0.02,-4,0.0019531
0.03,-7,0.0019531
0.04,-13,0.0019531
0.05,-19,0.0019531
0.06,-27,0.0019531
0.07,-36,0.0019531
0.08,-46,0.0019531
0.09,-57,0.0019531
0.1,-68,-0.402288
0.11,-81,-0.402288
0.12,-94,-0.402288
0.13,-109,-0.402288
0.14,-124,-0.402288
0.15,-139,-0.402288
0.16,-156,-0.402288
0.17,-172,-0.402288
0.18,-190,-0.402288
0.19,-208,-0.402288
0.2,-226,-0.220915
0.21,-245,-0.220915
0.22,-264,-0.220915
0.23,-284,-0.220915
0.24,-305,-0.220915
0.25,-325,-0.220915
0.26,-346,-0.220915
0.27,-368,-0.220915
0.28,-389,-0.220915
0.29,-411,-0.220915
0.3,-434,-0.220915
0.31,-456,-0.146732
0.32,-479,-0.146732
0.33,-502,-0.146732
0.34,-525,-0.146732
0.35,-549,-0.146732
0.36,-572,-0.146732
0.37,-596,-0.146732
0.38,-620,-0.146732
0.39,-645,-0.146732
0.4,-669,-0.146732
0.41,-694,-0.146732
0.42,-719,-0.113725
0.43,-743,-0.113725
0.44,-768,-0.113725
0.45,-794,-0.113725
0.46,-819,-0.113725
0.47,-844,-0.113725
0.48,-870,-0.113725
0.49,-895,-0.113725
0.5,-921,-0.113725
0.51,-946,-0.113725
0.52,-972,-0.0898693
0.53,-998,-0.0898693
0.54,-1024,-0.0898693
0.55,-1049,-0.0898693
0.56,-1075,-0.0898693
0.57,-1101,-0.0898693
0.58,-1127,-0.0898693
0.59,-1153,-0.0898693
0.6,-1179,-0.0898693
0.61,-1206,-0.0898693
0.62,-1232,-0.0898693
0.63,-1259,-0.0885621
0.64,-1285,-0.0885621
0.65,-1312,-0.0885621
0.66,-1339,-0.0885621
0.67,-1366,-0.0885621
0.68,-1393,-0.0885621
0.69,-1419,-0.0885621
0.7,-1446,-0.0885621
0.71,-1473,-0.0885621
0.72,-1500,-0.0885621
0.73,-1527,-0.0885621
0.74,-1554,-0.074183
0.75,-1581,-0.074183
0.76,-1608,-0.074183
0.77,-1635,-0.074183
0.78,-1663,-0.074183
0.79,-1690,-0.074183
0.8,-1717,-0.074183
0.81,-1744,-0.074183
0.82,-1771,-0.074183
0.83,-1799,-0.074183
0.84,-1826,-0.0781046
0.85,-1854,-0.0781046
0.86,-1881,-0.0781046
0.87,-1908,-0.0781046
0.88,-1936,-0.0781046
0.89,-1963,-0.0781046
0.9,-1990,-0.0781046
0.91,-2018,-0.0781046
0.92,-2046,-0.0781046
0.93,-2073,-0.0781046
0.94,-2101,-0.0781046
0.95,-2129,-0.0598039
0.96,-2156,-0.0598039
0.97,-2184,-0.0598039
0.98,-2211,-0.0598039
0.99,-2239,-0.0598039
1,-2267,-0.0598039
1.01,-2294,-0.0598039
1.02,-2322,-0.0598039
1.03,-2350,-0.0598039
1.04,-2378,-0.0598039
1.05,-2406,-0.0673203
1.06,-2433,-0.0673203
1.07,-2461,-0.0673203
1.08,-2489,-0.0673203
1.09,-2517,-0.0673203
1.1,-2545,-0.0673203
1.11,-2573,-0.0673203
1.12,-2600,-0.0673203
1.13,-2628,-0.0673203
1.14,-2656,-0.0673203
1.15,-2684,-0.0673203
1.16,-2712,-0.0748366
1.17,-2740,-0.0748366
1.18,-2768,-0.0748366
1.19,-2796,-0.0748366
1.2,-2824,-0.0748366
1.21,-2852,-0.0748366
1.22,-2880,-0.0748366
1.23,-2908,-0.0748366
1.24,-2936,-0.0748366
1.25,-2964,-0.0748366
1.26,-2992,-0.0748366
1.27,-3020,-0.0643791
1.28,-3048,-0.0643791
1.29,-3076,-0.0643791
1.3,-3104,-0.0643791
1.31,-3132,-0.0643791
1.32,-3160,-0.0643791
1.33,-3188,-0.0643791
1.34,-3216,-0.0643791
1.35,-3244,-0.0643791
1.36,-3272,-0.0643791
1.37,-3300,-0.0715686
1.38,-3328,-0.0715686
1.39,-3356,-0.0715686
1.4,-3384,-0.0715686
1.41,-3412,-0.0715686
1.42,-3440,-0.0715686
1.43,-3469,-0.0715686
1.44,-3497,-0.0715686
1.45,-3525,-0.0715686
1.46,-3553,-0.0715686
1.47,-3581,-0.0715686
1.48,-3609,-0.0558824
1.49,-3638,-0.0558824
1.5,-3666,-0.0558824
1.51,-3694,-0.0558824
1.52,-3722,-0.0558824
1.53,-3750,-0.0558824
1.54,-3778,-0.0558824
1.55,-3806,-0.0558824
1.56,-3835,-0.0558824
1.57,-3863,-0.0558824
1.58,-3891,-0.0558824
1.59,-3919,-0.0669935
1.6,-3947,-0.0669935
1.61,-3976,-0.0669935
1.62,-4004,-0.0669935
1.63,-4032,-0.0669935
1.64,-4060,-0.0669935
1.65,-4089,-0.0669935
1.66,-4117,-0.0669935
1.67,-4145,-0.0669935
1.68,-4173,-0.0669935
