Time(s),Encoder,ADC
0,0,0.00232987
0.01,1,0.00232987
0.02,5,0.00232987
0.03,9,0.00232987
0.04,15,0.00232987
0.05,22,0.00232987
0.06,30,0.00232987
0.07,40,0.00232987
0.08,50,0.00232987
0.09,62,0.40098
0.1,74,0.40098
0.11,87,0.40098
0.12,101,0.40098
0.13,115,0.40098
0.14,130,0.40098
0.15,146,0.40098
0.16,162,0.40098
0.17,179,0.40098
0.18,197,0.40098
0.19,215,0.40098
0.2,233,0.234641
0.21,252,0.234641
0.22,271,0.234641
0.23,291,0.234641
0.24,311,0.234641
0.25,332,0.234641
0.26,353,0.234641
0.27,374,0.234641
0.28,395,0.234641
0.29,417,0.234641
0.3,439,0.234641
0.31,462,0.144444
0.32,484,0.144444
0.33,507,0.144444
0.34,530,0.144444
0.35,553,0.144444
0.36,577,0.144444
0.37,600,0.144444
0.38,624,0.144444
0.39,648,0.144444
0.4,672,0.144444
0.41,696,0.0980392
0.42,721,0.0980392
0.43,745,0.0980392
0.44,770,0.0980392
0.45,794,0.0980392
0.46,819,0.0980392
0.47,844,0.0980392
0.48,869,0.0980392
0.49,894,0.0980392
0.5,919,0.0980392
0.51,945,0.0980392
0.52,970,0.0915033
0.53,995,0.0915033
0.54,1021,0.0915033
0.55,1047,0.0915033
0.56,1072,0.0915033
0.57,1098,0.0915033
0.58,1124,0.0915033
0.59,1150,0.0915033
0.6,1176,0.0915033
0.61,1202,0.0915033
0.62,1229,0.0915033
0.63,1255,0.096732
0.64,1281,0.096732
0.65,1307,0.096732
0.66,1334,0.096732
0.67,1360,0.096732
0.68,1387,0.096732
0.69,1413,0.096732
0.7,1440,0.096732
0.71,1467,0.096732
0.72,1493,0.096732
0.73,1521,0.0905229
0.74,1547,0.0905229
0.75,1574,0.0905229
0.76,1601,0.0905229
0.77,1628,0.0905229
0.78,1655,0.0905229
0.79,1682,0.0905229
0.8,1709,0.0905229
0.81,1736,0.0905229
0.82,1763,0.0905229
0.83,1790,0.0905229
0.84,1817,0.0781046
0.85,1845,0.0781046
0.86,1872,0.0781046
0.87,1899,0.0781046
0.88,1926,0.0781046
0.89,1953,0.0781046
0.9,1981,0.0781046
0.91,2008,0.0781046
0.92,2036,0.0781046
0.93,2063,0.0781046
0.94,2091,0.0732026
0.95,2118,0.0732026
0.96,2146,0.0732026
0.97,2173,0.0732026
0.98,2201,0.0732026
0.99,2229,0.0732026
1,2256,0.0732026
1.01,2284,0.0732026
1.02,2311,0.0732026
1.03,2339,0.0732026
1.04,2367,0.0732026
1.05,2394,0.0800654
1.06,2422,0.0800654
1.07,2450,0.0800654
1.08,2477,0.0800654
1.09,2505,0.0800654
1.1,2533,0.0800654
1.11,2561,0.0800654
1.12,2588,0.0800654
1.13,2616,0.0800654
1.14,2644,0.0800654
1.15,2672,0.0800654
1.16,2700,0.0614379
1.17,2727,0.0614379
1.18,2755,0.0614379
1.19,2783,0.0614379
1.2,2811,0.0614379
1.21,2839,0.0614379
1.22,2867,0.0614379
1.23,2895,0.0614379
1.24,2923,0.0614379
1.25,2950,0.0614379
1.26,2979,0.0905229
1.27,3006,0.0905229
1.28,3034,0.0905229
1.29,3062,0.0905229
1.3,3090,0.0905229
1.31,3118,0.0905229
1.32,3146,0.0905229
1.33,3174,0.0905229
1.34,3202,0.0905229
1.35,3230,0.0905229
1.36,3258,0.0905229
1.37,3286,0.0715686
1.38,3314,0.0715686
1.39,3342,0.0715686
1.4,3370,0.0715686
1.41,3398,0.0715686
1.42,3426,0.0715686
1.43,3454,0.0715686
1.44,3482,0.0715686
1.45,3510,0.0715686
1.46,3538,0.0715686
1.47,3566,0.0715686
1.48,3595,0.0624183
1.49,3623,0.0624183
1.5,3651,0.0624183
1.51,3679,0.0624183
1.52,3707,0.0624183
1.53,3735,0.0624183
1.54,3763,0.0624183
1.55,3791,0.0624183
1.56,3819,0.0624183
1.57,3847,0.0624183
1.58,3875,0.070915
1.59,3903,0.070915
1.6,3931,0.070915
1.61,3959,0.070915
1.62,3987,0.070915
1.63,4015,0.070915
1.64,4043,0.070915
1.65,4071,0.070915
1.66,4099,0.070915
1.67,4128,0.070915
1.68,4156,0.070915
1.69,4184,0.0771242
1.7,4212,0.0771242
1.71,4240,0.0771242
1.72,4268,0.0771242
1.73,4296,0.0771242
1.74,4324,0.0771242
1.75,4352,0.0771242
1.76,4380,0.0771242
1.77,4408,0.0771242
1.78,4437,0.0771242
1.79,4465,0.0771242
1.8,4493,0.0728758
1.81,4521,0.0728758
1.82,4549,0.0728758
1.83,4577,0.0728758
1.84,4605,0.0728758
1.85,4633,0.0728758
1.86,4661,0.0728758
1.87,4689,0.0728758
1.88,4718,0.0728758
1.89,4746,0.0728758
1.9,4774,0.0683007
1.91,4802,0.0683007
1.92,4830,0.0683007
1.93,4858,0.0683007
1.94,4886,0.0683007
1.95,4915,0.0683007
1.96,4943,0.0683007
1.97,4971,0.0683007
1.98,4999,0.0683007
1.99,5027,0.0683007
2,5055,0.0683007
2.01,5083,0.0794118
2.02,5112,0.0794118
2.03,5140,0.0794118
2.04,5168,0.0794118
2.05,5196,0.0794118
2.06,5224,0.0794118
2.07,5253,0.0794118
2.08,5281,0.0794118
2.09,5309,0.0794118
2.1,5337,0.0794118
2.11,5365,0.0794118
2.12,5394,0.0620915
2.13,5422,0.0620915
2.14,5450,0.0620915
2.15,5478,0.0620915
2.16,5507,0.0620915
2.17,5535,0.0620915
2.18,5563,0.0620915
2.19,5591,0.0620915
2.2,5619,0.0620915
2.21,5648,0.0620915
2.22,5676,0.079085
2.23,5704,0.079085
2.24,5733,0.079085
2.25,5761,0.079085
2.26,5789,0.079085
2.27,5817,0.079085
2.28,5845,0.079085
2.29,5874,0.079085
2.3,5902,0.079085
2.31,5930,0.079085
2.32,5958,0.079085
2.33,5987,0.0653595
2.34,6015,0.0653595
2.35,6043,0.0653595
2.36,6071,0.0653595
2.37,6100,0.0653595
2.38,6128,0.0653595
2.39,6156,0.0653595
2.4,6185,0.0653595
2.41,6213,0.0653595
2.42,6241,0.0653595
2.43,6270,0.0555556
2.44,6298,0.0555556
2.45,6326,0.0555556
2.46,6354,0.0555556
2.47,6383,0.0555556
2.48,6411,0.0555556
2.49,6439,0.0555556
2.5,6468,0.0555556
2.51,6496,0.0555556
2.52,6524,0.0555556
2.53,6553,0.0555556
2.54,6581,0.0683007
2.55,6609,0.0683007
2.56,6638,0.0683007
2.57,6666,0.0683007
2.58,6695,0.0683007
2.59,6723,0.0683007
2.6,6751,0.0683007
2.61,6780,0.0683007
2.62,6808,0.0683007
2.63,6836,0.0683007
2.64,6865,0.0683007
2.65,6893,0.0643791
2.66,6921,0.0643791
2.67,6950,0.0643791
2.68,6978,0.0643791
2.69,7007,0.0643791
2.7,7035,0.0643791
2.71,7064,0.0643791
2.72,7092,0.0643791
2.73,7121,0.0643791
2.74,7149,0.0643791
2.75,7178,0.0702614
2.76,7206,0.0702614
2.77,7234,0.0702614
2.78,7263,0.0702614
2.79,7291,0.0702614
2.8,7320,0.0702614
2.81,7348,0.0702614
2.82,7377,0.0702614
2.83,7405,0.0702614
2.84,7434,0.0702614
2.85,7462,0.0702614
2.86,7491,0.0640523
2.87,7519,0.0640523
2.88,7553,0.0640523
2.89,7582,0.0640523
2.9,7610,0.0640523
2.91,7639,0.0640523
2.92,7667,0.0640523
2.93,7696,0.0640523
2.94,7724,0.0640523
2.95,7753,0.0640523
2.96,7781,0.0624183
2.97,7810,0.0624183
2.98,7838,0.0624183
2.99,7867,0.0624183
3,7895,0.0624183
3.01,7924,0.0624183
3.02,7953,0.0624183
3.03,7981,0.0624183
3.04,8009,0.0624183
3.05,8038,0.0624183
3.06,8067,0.0624183
3.07,8095,0.0558824
3.08,8123,0.0558824
3.09,8152,0.0558824
3.1,8181,0.0558824
3.11,8209,0.0558824
3.12,8237,0.0558824
3.13,8266,0.0558824
3.14,8295,0.0558824
3.15,8323,0.0558824
3.16,8352,0.0558824
3.17,8380,0.0558824
3.18,8409,0.0614379
3.19,8437,0.0614379
3.2,8466,0.0614379
3.21,8494,0.0614379
3.22,8523,0.0614379
3.23,8551,0.0614379
3.24,8580,0.0614379
3.25,8608,0.0614379
3.26,8637,0.0614379
3.27,8665,0.0614379
3.28,8694,0.0522876
3.29,8723,0.0522876
3.3,8751,0.0522876
3.31,8780,0.0522876
3.32,8808,0.0522876
3.33,8837,0.0522876
3.34,8865,0.0522876
3.35,8894,0.0522876
3.36,8922,0.0522876
3.37,8951,0.0522876
3.38,8979,0.0522876
3.39,9008,0.0555556
3.4,9037,0.0555556
3.41,9065,0.0555556
3.42,9094,0.0555556
3.43,9122,0.0555556
3.44,9151,0.0555556
3.45,9180,0.0555556
3.46,9208,0.0555556
3.47,9237,0.0555556
3.48,9265,0.0555556
3.49,9294,0.0555556
3.5,9323,0.0637255
3.51,9351,0.0637255
3.52,9380,0.0637255
3.53,9409,0.0637255
3.54,9437,0.0637255
3.55,9466,0.0637255
3.56,9495,0.0637255
3.57,9523,0.0637255
3.58,9552,0.0637255
3.59,9581,0.0637255
3.6,9609,0.0656863
3.61,9638,0.0656863
3.62,9667,0.0656863
3.63,9695,0.0656863
3.64,9724,0.0656863
3.65,9753,0.0656863
3.66,9781,0.0656863
3.67,9810,0.0656863
3.68,9839,0.0656863
3.69,9867,0.0656863
3.7,9896,0.0656863
3.71,9925,0.0509804
3.72,9953,0.0509804
3.73,9982,0.0509804
3.74,10011,0.0509804
3.75,10039,0.0509804
3.76,10068,0.0509804
3.77,10097,0.0509804
3.78,10126,0.0509804
3.79,10154,0.0509804
3.8,10183,0.0509804
3.81,10212,0.0509804
3.82,10241,0.074183
3.83,10269,0.074183
3.84,10298,0.074183
3.85,10327,0.074183
3.86,10355,0.074183
3.87,10384,0.074183
3.88,10413,0.074183
3.89,10442,0.074183
3.9,10470,0.074183
3.91,10499,0.074183
3.92,10528,0.0558824
3.93,10557,0.0558824
3.94,10585,0.0558824
3.95,10614,0.0558824
3.96,10643,0.0558824
3.97,10672,0.0558824
3.98,10701,0.0558824
3.99,10729,0.0558824
4,10758,0.0558824
4.01,10787,0.0558824
4.02,10815,0.0558824
4.03,10844,0.0650327
4.04,10873,0.0650327
4.05,10902,0.0650327
4.06,10931,0.0650327
4.07,10959,0.0650327
4.08,10988,0.0650327
4.09,11017,0.0650327
4.1,11046,0.0650327
4.11,11075,0.0650327
4.12,11103,0.0650327
4.13,11132,0.0614379
4.14,11161,0.0614379
4.15,11190,0.0614379
4.16,11219,0.0614379
4.17,11247,0.0614379
4.18,11276,0.0614379
4.19,11305,0.0614379
4.2,11334,0.0614379
4.21,11363,0.0614379
4.22,11391,0.0614379
4.23,11420,0.0614379
4.24,11449,0.070915
4.25,11478,0.070915
4.26,11507,0.070915
4.27,11535,0.070915
4.28,11564,0.070915
4.29,11593,0.070915
4.3,11622,0.070915
4.31,11651,0.070915
4.32,11680,0.070915
4.33,11709,0.070915
4.34,11737,0.070915
4.35,11766,0.0584967
4.36,11795,0.0584967
4.37,11824,0.0584967
4.38,11853,0.0584967
4.39,11882,0.0584967
4.4,11911,0.0584967
4.41,11939,0.0584967
4.42,11968,0.0584967
4.43,11997,0.0584967
4.44,12026,0.0584967
4.45,12055,0.0503268
4.46,12084,0.0503268
4.47,12113,0.0503268
4.48,12142,0.0503268
4.49,12171,0.0503268
4.5,12200,0.0503268
4.51,12229,0.0503268
4.52,12257,0.0503268
4.53,12286,0.0503268
4.54,12315,0.0503268
4.55,12344,0.0503268
4.56,12373,0.0555556
4.57,12402,0.0555556
4.58,12431,0.0555556
4.59,12460,0.0555556
4.6,12489,0.0555556
4.61,12518,0.0555556
4.62,12547,0.0555556
4.63,12576,0.0555556
4.64,12605,0.0555556
4.65,12633,0.0555556
4.66,12662,0.0555556
4.67,12691,0.0647059
4.68,12720,0.0647059
4.69,12749,0.0647059
4.7,12778,0.0647059
4.71,12807,0.0647059
4.72,12836,0.0647059
4.73,12865,0.0647059
4.74,12893,0.0647059
4.75,12922,0.0647059
4.76,12951,0.0647059
4.77,12980,0.0624183
4.78,13009,0.0624183
4.79,13038,0.0624183
4.8,13067,0.0624183
4.81,13096,0.0624183
4.82,13125,0.0624183
4.83,13153,0.0624183
4.84,13182,0.0624183
4.85,13211,0.0624183
4.86,13240,0.0624183
4.87,13269,0.0624183
4.88,13298,0.0601307
4.89,13327,0.0601307
4.9,13356,0.0601307
4.91,13385,0.0601307
4.92,13413,0.0601307
4.93,13442,0.0601307
4.94,13471,0.0601307
4.95,13500,0.0601307
4.96,13529,0.0601307
4.97,13558,0.0601307
4.98,13587,0.0601307
4.99,13616,0.0598039
