Time(s), V(V),Encoder,ADC
0,0,0,-1
0.005,0.18848,0,-1
0.01,0.37692,0,-1
0.015,0.56526,0,-24
0.02,0.75346,0,-24
0.025,0.94148,0,-24
0.03,1.1293,0,-24
0.035,1.3168,0,-63
0.04,1.504,0,-63
0.045,1.6908,0,-63
0.05,1.8772,0,-97
0.055,2.0631,-1,-97
0.06,2.2485,-1,-97
0.065,2.4334,-1,-97
0.07,2.6176,-2,-124
0.075,2.8013,-2,-124
0.08,2.9842,-3,-124
0.085,3.1664,-3,-152
0.09,3.3478,-5,-152
0.095,3.5284,-5,-152
0.1,3.7081,-7,-152
0.105,3.8869,-8,-159
0.11,4.0647,-10,-159
0.115,4.2416,-12,-159
0.12,4.4174,-14,-159
0.125,4.5921,-16,-167
0.13,4.7656,-19,-167
0.135,4.938,-22,-167
0.14,5.1092,-25,-152
0.145,5.2791,-28,-152
0.15,5.4477,-32,-152
0.155,5.615,-36,-152
0.16,5.7809,-40,-159
0.165,5.9453,-45,-159
0.17,6.1083,-49,-159
0.175,6.2698,-54,-127
0.18,6.4298,-60,-127
0.185,6.5881,-65,-127
0.19,6.7448,-71,-127
0.195,6.8999,-77,-143
0.2,7.0532,-84,-143
0.205,7.2049,-91,-143
0.21,7.3547,-98,-127
0.215,7.5027,-105,-127
0.22,7.6489,-113,-127
0.225,7.7932,-121,-127
0.23,7.9355,-129,-112
0.235,8.076,-137,-112
0.24,8.2144,-146,-112
0.245,8.3508,-155,-103
0.25,8.4851,-164,-103
0.255,8.6173,-173,-103
0.26,8.7474,-183,-103
0.265,8.8754,-193,-96
0.27,9.0011,-203,-96
0.275,9.1247,-213,-96
0.28,9.246,-224,-79
0.285,9.365,-235,-79
0.29,9.4817,-245,-79
0.295,9.596,-257,-79
0.3,9.708,-268,-63
0.305,9.8176,-279,-63
0.31,9.9248,-291,-63
0.315,10.029,-303,-63
0.32,10.132,-315,-63
0.325,10.231,-327,-63
0.33,10.329,-340,-63
0.335,10.423,-352,-56
0.34,10.515,-365,-56
0.345,10.605,-378,-56
0.35,10.692,-391,-56
0.355,10.776,-404,-48
0.36,10.858,-417,-48
0.365,10.937,-430,-48
0.37,11.013,-443,-48
0.375,11.086,-457,-48
0.38,11.157,-471,-48
0.385,11.225,-484,-48
0.39,11.29,-498,-35
0.395,11.353,-512,-35
0.4,11.413,-526,-35
0.405,11.469,-540,-31
0.41,11.523,-555,-31
0.415,11.575,-569,-31
0.42,11.623,-583,-31
0.425,11.668,-598,-30
0.43,11.711,-613,-30
0.435,11.751,-627,-30
0.44,11.787,-642,-30
0.445,11.821,-657,-30
0.45,11.852,-671,-30
0.455,11.88,-687,-30
0.46,11.905,-701,-28
0.465,11.927,-717,-28
0.47,11.947,-732,-28
0.475,11.963,-747,-31
0.48,11.976,-762,-31
0.485,11.987,-777,-31
0.49,11.994,-793,-31
0.495,11.999,-808,-24
0.5,12,-823,-24
0.505,11.999,-839,-24
0.51,11.994,-855,-24
0.515,11.987,-870,-24
0.52,11.976,-886,-24
0.525,11.963,-901,-24
0.53,11.947,-917,-24
0.535,11.928,-933,-24
0.54,11.905,-949,-24
0.545,11.88,-964,-24
0.55,11.852,-980,-24
0.555,11.821,-996,-24
0.56,11.788,-1012,-24
0.565,11.751,-1028,-15
0.57,11.711,-1043,-15
0.575,11.669,-1059,-15
0.58,11.623,-1075,-15
0.585,11.575,-1091,-15
0.59,11.524,-1107,-15
0.595,11.47,-1123,-15
0.6,11.413,-1139,-24
0.605,11.353,-1155,-24
0.61,11.291,-1171,-24
0.615,11.226,-1187,-24
0.62,11.158,-1203,-15
0.625,11.087,-1219,-15
0.63,11.013,-1235,-15
0.635,10.937,-1251,-15
0.64,10.858,-1267,-15
0.645,10.777,-1283,-15
0.65,10.692,-1299,-15
0.655,10.606,-1315,-15
0.66,10.516,-1331,-15
0.665,10.424,-1347,-15
0.67,10.329,-1363,-24
0.675,10.232,-1379,-24
0.68,10.132,-1395,-24
0.685,10.03,-1411,-24
0.69,9.9254,-1427,-14
0.695,9.8183,-1443,-14
0.7,9.7087,-1459,-14
0.705,9.5967,-1475,-14
0.71,9.4824,-1492,-15
0.715,9.3657,-1508,-15
0.72,9.2467,-1524,-15
0.725,9.1254,-1540,-15
0.73,9.0019,-1556,-15
0.735,8.8761,-1572,-15
0.74,8.7482,-1588,-15
0.745,8.6181,-1604,-24
0.75,8.4859,-1620,-24
0.755,8.3516,-1636,-24
0.76,8.2152,-1652,-15
0.765,8.0768,-1667,-15
0.77,7.9364,-1683,-15
0.775,7.794,-1699,-15
0.78,7.6498,-1715,-24
0.785,7.5036,-1731,-24
0.79,7.3556,-1747,-24
0.795,7.2058,-1763,-15
0.8,7.0542,-1779,-15
0.805,6.9008,-1795,-15
0.81,6.7458,-1811,-15
0.815,6.5891,-1826,-17
0.82,6.4307,-1842,-17
0.825,6.2708,-1858,-17
0.83,6.1093,-1874,-19
0.835,5.9463,-1889,-19
0.84,5.7819,-1905,-19
0.845,5.616,-1921,-19
0.85,5.4487,-1936,-24
0.855,5.2801,-1952,-24
0.86,5.1102,-1967,-24
0.865,4.9391,-1983,-24
0.87,4.7667,-1999,-24
0.875,4.5931,-2014,-24
0.88,4.4184,-2030,-24
0.885,4.2426,-2045,-24
0.89,4.0658,-2061,-24
0.895,3.888,-2076,-24
0.9,3.7092,-2091,-24
0.905,3.5295,-2107,-24
0.91,3.3489,-2122,-24
0.915,3.1675,-2137,-24
0.92,2.9853,-2152,-28
0.925,2.8024,-2167,-28
0.93,2.6188,-2183,-28
0.935,2.4345,-2198,-28
0.94,2.2496,-2213,-15
0.945,2.0642,-2228,-15
0.95,1.8783,-2243,-15
0.955,1.6919,-2258,-24
0.96,1.5051,-2272,-24
0.965,1.3179,-2287,-24
0.97,1.1304,-2302,-24
0.975,0.94262,-2317,-14
0.98,0.7546,-2331,-14
0.985,0.5664,-2346,-14
0.99,0.37806,-2360,-7
0.995,0.18962,-2375,-7
1,0.0011405,-2389,-7
1.005,-0.18734,-2403,-7
1.01,-0.37578,-2418,0
1.015,-0.56412,-2432,0
1.02,-0.75233,-2446,0
1.025,-0.94034,-2460,79
1.03,-1.1281,-2474,79
1.035,-1.3156,-2487,79
1.04,-1.5028,-2501,79
