Time(s),Encoder,ADC
0,0,0.00196078
0.01,1,0.00196078
0.02,3,0.00196078
0.03,7,0.00196078
0.04,12,0.00196078
0.05,18,0.00196078
0.06,26,0.00196078
0.07,35,0.00196078
0.08,45,0.00196078
0.09,56,0.00196078
0.1,67,-0.328758
0.11,80,-0.328758
0.12,93,-0.328758
0.13,107,-0.328758
0.14,122,-0.328758
0.15,138,-0.328758
0.16,154,-0.328758
0.17,171,-0.328758
0.18,188,-0.328758
0.19,206,-0.328758
0.2,225,-0.328758
0.21,244,-0.208824
0.22,264,-0.208824
0.23,283,-0.208824
0.24,304,-0.208824
0.25,324,-0.208824
0.26,345,-0.208824
0.27,367,-0.208824
0.28,388,-0.208824
0.29,410,-0.208824
0.3,433,-0.208824
0.31,456,-0.139216
0.32,478,-0.139216
0.33,502,-0.139216
0.34,525,-0.139216
0.35,549,-0.139216
0.36,572,-0.139216
0.37,596,-0.139216
0.38,621,-0.139216
0.39,645,-0.139216
0.4,670,-0.139216
0.41,695,-0.139216
0.42,720,-0.101961
0.43,745,-0.101961
0.44,770,-0.101961
0.45,795,-0.101961
0.46,821,-0.101961
0.47,846,-0.101961
0.48,872,-0.101961
0.49,898,-0.101961
0.5,924,-0.101961
0.51,950,-0.101961
0.52,976,-0.0934641
0.53,1003,-0.0934641
0.54,1029,-0.0934641
0.55,1056,-0.0934641
0.56,1082,-0.0934641
0.57,1109,-0.0934641
0.58,1136,-0.0934641
0.59,1162,-0.0934641
0.6,1189,-0.0934641
0.61,1216,-0.0934641
0.62,1244,-0.0934641
0.63,1271,-0.0673203
0.64,1298,-0.0673203
0.65,1325,-0.0673203
0.66,1352,-0.0673203
0.67,1380,-0.0673203
0.68,1407,-0.0673203
0.69,1434,-0.0673203
0.7,1462,-0.0673203
0.71,1489,-0.0673203
0.72,1516,-0.0673203
0.73,1544,-0.0673203
0.74,1572,-0.0663399
0.75,1599,-0.0663399
0.76,1627,-0.0663399
0.77,1654,-0.0663399
0.78,1682,-0.0663399
0.79,1710,-0.0663399
0.8,1737,-0.0663399
0.81,1765,-0.0663399
0.82,1793,-0.0663399
0.83,1821,-0.0663399
0.84,1848,-0.0660131
0.85,1876,-0.0660131
0.86,1904,-0.0660131
0.87,1932,-0.0660131
0.88,1960,-0.0660131
0.89,1988,-0.0660131
0.9,2016,-0.0660131
0.91,2044,-0.0660131
0.92,2071,-0.0660131
0.93,2099,-0.0660131
0.94,2127,-0.0660131
0.95,2155,-0.0614379
0.96,2183,-0.0614379
0.97,2211,-0.0614379
0.98,2239,-0.0614379
0.99,2267,-0.0614379
1,2295,-0.0614379
1.01,2323,-0.0614379
1.02,2351,-0.0614379
1.03,2379,-0.0614379
1.04,2407,-0.0614379
1.05,2436,-0.0614379
1.06,2464,-0.0656863
1.07,2492,-0.0656863
1.08,2520,-0.0656863
1.09,2548,-0.0656863
1.1,2576,-0.0656863
1.11,2604,-0.0656863
1.12,2632,-0.0656863
1.13,2660,-0.0656863
1.14,2688,-0.0656863
1.15,2716,-0.0656863
1.16,2745,-0.0594771
1.17,2773,-0.0594771
1.18,2801,-0.0594771
1.19,2829,-0.0594771
1.2,2857,-0.0594771
1.21,2886,-0.0594771
1.22,2914,-0.0594771
1.23,2942,-0.0594771
1.24,2970,-0.0594771
1.25,2998,-0.0594771
1.26,3026,-0.0594771
1.27,3055,-0.0617647
1.28,3083,-0.0617647
1.29,3111,-0.0617647
1.3,3139,-0.0617647
1.31,3168,-0.0617647
1.32,3196,-0.0617647
1.33,3224,-0.0617647
1.34,3252,-0.0617647
1.35,3280,-0.0617647
1.36,3309,-0.0617647
1.37,3337,-0.0617647
1.38,3365,-0.0591503
1.39,3393,-0.0591503
1.4,3422,-0.0591503
1.41,3450,-0.0591503
1.42,3478,-0.0591503
1.43,3506,-0.0591503
1.44,3535,-0.0591503
1.45,3563,-0.0591503
1.46,3591,-0.0591503
1.47,3620,-0.0591503
1.48,3648,-0.0598039
1.49,3676,-0.0598039
1.5,3704,-0.0598039
1.51,3732,-0.0598039
1.52,3761,-0.0598039
1.53,3789,-0.0598039
1.54,3817,-0.0598039
1.55,3846,-0.0598039
1.56,3874,-0.0598039
1.57,3902,-0.0598039
1.58,3930,-0.0598039
1.59,3959,-0.0584967
