Time(s),Encoder,ADC
0,0,-0.00292964
0.01,-1,-0.00292964
0.02,-4,-0.00292964
0.03,-8,-0.00292964
0.04,-13,-0.00292964
0.05,-20,-0.00292964
0.06,-28,-0.00292964
0.07,-37,-0.00292964
0.08,-47,-0.00292964
0.09,-58,-0.00292964
0.1,-70,0.358824
0.11,-83,0.358824
0.12,-97,0.358824
0.13,-111,0.358824
0.14,-127,0.358824
0.15,-143,0.358824
0.16,-159,0.358824
0.17,-177,0.358824
0.18,-194,0.358824
0.19,-213,0.358824
0.2,-232,0.20719
0.21,-251,0.20719
0.22,-271,0.20719
0.23,-291,0.20719
0.24,-311,0.20719
0.25,-332,0.20719
0.26,-354,0.20719
0.27,-375,0.20719
0.28,-397,0.20719
0.29,-419,0.20719
0.3,-442,0.20719
0.31,-465,0.136601
0.32,-488,0.136601
0.33,-511,0.136601
0.34,-535,0.136601
0.35,-558,0.136601
0.36,-583,0.136601
0.37,-607,0.136601
0.38,-631,0.136601
0.39,-656,0.136601
0.4,-681,0.136601
0.41,-706,0.116993
0.42,-731,0.116993
0.43,-756,0.116993
0.44,-781,0.116993
0.45,-807,0.116993
0.46,-833,0.116993
0.47,-858,0.116993
0.48,-884,0.116993
0.49,-911,0.116993
0.5,-937,0.116993
0.51,-963,0.116993
0.52,-990,0.0960784
0.53,-1016,0.0960784
0.54,-1043,0.0960784
0.55,-1069,0.0960784
0.56,-1096,0.0960784
0.57,-1123,0.0960784
0.58,-1150,0.0960784
0.59,-1177,0.0960784
0.6,-1204,0.0960784
0.61,-1231,0.0960784
0.62,-1258,0.0960784
0.63,-1286,0.0823529
0.64,-1313,0.0823529
0.65,-1340,0.0823529
0.66,-1368,0.0823529
0.67,-1395,0.0823529
0.68,-1423,0.0823529
0.69,-1450,0.0823529
0.7,-1478,0.0823529
0.71,-1506,0.0823529
0.72,-1534,0.0823529
0.73,-1562,0.0683007
0.74,-1589,0.0683007
0.75,-1617,0.0683007
0.76,-1645,0.0683007
0.77,-1673,0.0683007
0.78,-1701,0.0683007
0.79,-1729,0.0683007
0.8,-1757,0.0683007
0.81,-1786,0.0683007
0.82,-1814,0.0683007
0.83,-1842,0.0683007
0.84,-1870,0.0686275
0.85,-1899,0.0686275
0.86,-1927,0.0686275
0.87,-1955,0.0686275
0.88,-1983,0.0686275
0.89,-2012,0.0686275
0.9,-2040,0.0686275
0.91,-2069,0.0686275
0.92,-2097,0.0686275
0.93,-2125,0.0686275
0.94,-2154,0.0686275
0.95,-2183,0.0633987
0.96,-2211,0.0633987
0.97,-2240,0.0633987
0.98,-2268,0.0633987
0.99,-2297,0.0633987
1,-2325,0.0633987
1.01,-2354,0.0633987
1.02,-2383,0.0633987
1.03,-2411,0.0633987
1.04,-2440,0.0633987
1.05,-2469,0.0624183
1.06,-2497,0.0624183
1.07,-2526,0.0624183
1.08,-2555,0.0624183
1.09,-2583,0.0624183
1.1,-2612,0.0624183
1.11,-2641,0.0624183
1.12,-2669,0.0624183
1.13,-2698,0.0624183
1.14,-2727,0.0624183
1.15,-2756,0.0624183
1.16,-2785,0.0584967
1.17,-2819,0.0584967
1.18,-2848,0.0584967
1.19,-2876,0.0584967
1.2,-2905,0.0584967
1.21,-2934,0.0584967
1.22,-2963,0.0584967
1.23,-2992,0.0584967
1.24,-3021,0.0584967
1.25,-3049,0.0584967
1.26,-3079,0.0660131
1.27,-3107,0.0660131
1.28,-3136,0.0660131
1.29,-3165,0.0660131
1.3,-3194,0.0660131
1.31,-3223,0.0660131
1.32,-3252,0.0660131
1.33,-3281,0.0660131
1.34,-3310,0.0660131
1.35,-3339,0.0660131
1.36,-3368,0.0660131
1.37,-3397,0.0647059
1.38,-3426,0.0647059
1.39,-3455,0.0647059
1.4,-3484,0.0647059
1.41,-3513,0.0647059
1.42,-3542,0.0647059
1.43,-3571,0.0647059
1.44,-3600,0.0647059
1.45,-3629,0.0647059
1.46,-3658,0.0647059
1.47,-3687,0.0647059
1.48,-3717,0.0633987
1.49,-3746,0.0633987
1.5,-3775,0.0633987
1.51,-3804,0.0633987
1.52,-3833,0.0633987
1.53,-3862,0.0633987
1.54,-3891,0.0633987
1.55,-3920,0.0633987
1.56,-3949,0.0633987
1.57,-3979,0.0633987
1.58,-4008,0.0607843
1.59,-4037,0.0607843
1.6,-4066,0.0607843
1.61,-4095,0.0607843
1.62,-4124,0.0607843
1.63,-4153,0.0607843
1.64,-4182,0.0607843
1.65,-4211,0.0607843
1.66,-4241,0.0607843
1.67,-4270,0.0607843
1.68,-4299,0.0607843
1.69,-4328,0.0588235
1.7,-4357,0.0588235
1.71,-4386,0.0588235
1.72,-4415,0.0588235
1.73,-4445,0.0588235
1.74,-4474,0.0588235
1.75,-4503,0.0588235
1.76,-4532,0.0588235
1.77,-4561,0.0588235
1.78,-4590,0.0588235
1.79,-4619,0.0588235
1.8,-4649,0.0591503
1.81,-4678,0.0591503
1.82,-4707,0.0591503
1.83,-4736,0.0591503
1.84,-4765,0.0591503
1.85,-4794,0.0591503
1.86,-4823,0.0591503
1.87,-4853,0.0591503
1.88,-4882,0.0591503
1.89,-4911,0.0591503
1.9,-4941,0.0607843
1.91,-4970,0.0607843
1.92,-4999,0.0607843
1.93,-5028,0.0607843
1.94,-5057,0.0607843
1.95,-5086,0.0607843
1.96,-5115,0.0607843
1.97,-5145,0.0607843
1.98,-5174,0.0607843
1.99,-5203,0.0607843
2,-5232,0.0607843
2.01,-5262,0.0594771
2.02,-5291,0.0594771
2.03,-5320,0.0594771
2.04,-5349,0.0594771
2.05,-5379,0.0594771
2.06,-5408,0.0594771
2.07,-5437,0.0594771
2.08,-5466,0.0594771
2.09,-5495,0.0594771
2.1,-5525,0.0594771
2.11,-5554,0.0604575
2.12,-5583,0.0604575
2.13,-5612,0.0604575
2.14,-5641,0.0604575
2.15,-5671,0.0604575
2.16,-5700,0.0604575
2.17,-5729,0.0604575
2.18,-5759,0.0604575
2.19,-5788,0.0604575
2.2,-5817,0.0604575
2.21,-5846,0.0604575
2.22,-5876,0.0598039
2.23,-5905,0.0598039
2.24,-5934,0.0598039
2.25,-5963,0.0598039
2.26,-5993,0.0598039
2.27,-6022,0.0598039
2.28,-6051,0.0598039
2.29,-6081,0.0598039
2.3,-6110,0.0598039
2.31,-6139,0.0598039
2.32,-6168,0.0598039
2.33,-6198,0.0601307
2.34,-6227,0.0601307
2.35,-6256,0.0601307
2.36,-6285,0.0601307
2.37,-6315,0.0601307
2.38,-6344,0.0601307
2.39,-6373,0.0601307
2.4,-6403,0.0601307
2.41,-6432,0.0601307
2.42,-6461,0.0601307
2.43,-6491,0.0620915
2.44,-6520,0.0620915
2.45,-6549,0.0620915
2.46,-6578,0.0620915
2.47,-6608,0.0620915
2.48,-6637,0.0620915
2.49,-6666,0.0620915
2.5,-6695,0.0620915
2.51,-6725,0.0620915
2.52,-6754,0.0620915
2.53,-6783,0.0620915
2.54,-6813,0.0591503
2.55,-6842,0.0591503
2.56,-6871,0.0591503
2.57,-6901,0.0591503
2.58,-6930,0.0591503
2.59,-6959,0.0591503
2.6,-6989,0.0591503
2.61,-7018,0.0591503
2.62,-7047,0.0591503
2.63,-7077,0.0591503
2.64,-7106,0.0591503
2.65,-7135,0.0594771
