Time(s),h(m),V(V),Encoder,ADC
0,0,-4.5,0,1
0.005,0,-4.5,0,-216
0.01,0,-4.5,0,-216
0.015,-0.00023799,-4.5,-1,-216
0.02,-0.00047598,-4.5,-2,-216
0.025,-0.00071398,-4.5,-3,-224
0.03,-0.00095197,-4.5,-4,-224
0.035,-0.001428,-4.5,-6,-224
0.04,-0.0016659,-4.5,-7,-207
0.045,-0.0021419,-4.5,-9,-207
0.05,-0.0026179,-4.5,-11,-207
0.055,-0.0030939,-4.5,-13,-207
0.06,-0.0035699,-4.5,-15,-156
0.065,-0.0042839,-4.5,-18,-156
0.07,-0.0047598,-4.5,-20,-156
0.075,-0.0054738,-4.5,-23,-193
0.08,-0.0061878,-4.5,-26,-193
0.085,-0.0066638,-4.5,-28,-193
0.09,-0.0076158,-4.5,-32,-193
0.095,-0.0080917,-4.5,-34,-176
0.1,-0.0090437,-4.5,-38,-176
0.105,-0.0097577,-4.5,-41,-176
0.11,-0.010472,-4.5,-44,-176
0.115,-0.011424,-4.5,-48,-184
0.12,-0.012138,-4.5,-51,-184
0.125,-0.01309,-4.5,-55,-184
0.13,-0.014042,-4.5,-59,-192
0.135,-0.014994,-4.5,-63,-192
0.14,-0.015945,-4.5,-67,-192
0.145,-0.016897,-4.5,-71,-192
0.15,-0.017849,-4.5,-75,-167
0.155,-0.018801,-4.5,-79,-167
0.16,-0.019991,-4.5,-84,-167
0.165,-0.020943,-4.5,-88,-176
0.17,-0.022133,-4.5,-93,-176
0.175,-0.023085,-4.5,-97,-176
0.18,-0.024275,-4.5,-102,-176
0.185,-0.025465,-4.5,-107,-159
0.19,-0.026655,-4.5,-112,-159
0.195,-0.027845,-4.5,-117,-159
0.2,-0.029035,-4.5,-122,-152
0.205,-0.030463,-4.5,-128,-152
0.21,-0.031653,-4.5,-133,-152
0.215,-0.033081,-4.5,-139,-152
0.22,-0.034271,-4.5,-144,-156
0.225,-0.035699,-4.5,-150,-156
0.23,-0.037127,-4.5,-156,-156
0.235,-0.038317,-4.5,-161,-127
0.24,-0.039745,-4.5,-167,-127
0.245,-0.041173,-4.5,-173,-127
0.25,-0.042601,-4.5,-179,-127
0.255,-0.044029,-4.5,-185,-127
0.26,-0.045457,-4.5,-191,-127
0.265,-0.046885,-4.5,-197,-127
0.27,-0.048312,-4.5,-203,-143
0.275,-0.04974,-4.5,-209,-143
0.28,-0.051168,-4.5,-215,-143
0.285,-0.052834,-4.5,-222,-143
0.29,-0.054262,-4.5,-228,-142
0.295,-0.05569,-4.5,-234,-142
0.3,-0.057356,-4.5,-241,-142
