Time(s),h(m),V(V),Encoder,ADC
0,0,4.5,0,-1
0.005,0,4.5,0,-1
0.01,-0.00023799,4.5,-1,-1
0.015,-0.00023799,4.5,-1,-192
0.02,-0.00071398,4.5,-3,-192
0.025,-0.00095197,4.5,-4,-192
0.03,-0.00119,4.5,-5,-192
0.035,-0.0016659,4.5,-7,-192
0.04,-0.0021419,4.5,-9,-192
0.045,-0.0026179,4.5,-11,-192
0.05,-0.0030939,4.5,-13,-192
0.055,-0.0038079,4.5,-16,-176
0.06,-0.0042839,4.5,-18,-176
0.065,-0.0049978,4.5,-21,-176
0.07,-0.0057118,4.5,-24,-159
0.075,-0.0064258,4.5,-27,-159
0.08,-0.0073778,4.5,-31,-159
0.085,-0.0080917,4.5,-34,-159
0.09,-0.0090437,4.5,-38,-159
0.095,-0.0097577,4.5,-41,-159
0.1,-0.01071,4.5,-45,-159
0.105,-0.011662,4.5,-49,-143
0.11,-0.012614,4.5,-53,-143
0.115,-0.013566,4.5,-57,-143
0.12,-0.014518,4.5,-61,-143
0.125,-0.01547,4.5,-65,-127
0.13,-0.016659,4.5,-70,-127
0.135,-0.017611,4.5,-74,-127
0.14,-0.018801,4.5,-79,-143
0.145,-0.019753,4.5,-83,-143
0.15,-0.020943,4.5,-88,-143
0.155,-0.021895,4.5,-92,-143
0.16,-0.023085,4.5,-97,-143
0.165,-0.024275,4.5,-102,-143
0.17,-0.025465,4.5,-107,-143
0.175,-0.026655,4.5,-112,-127
0.18,-0.027845,4.5,-117,-127
0.185,-0.029273,4.5,-123,-127
0.19,-0.030463,4.5,-128,-127
0.195,-0.031653,4.5,-133,-127
0.2,-0.033081,4.5,-139,-127
0.205,-0.034509,4.5,-145,-127
0.21,-0.035937,4.5,-151,-112
0.215,-0.037365,4.5,-157,-112
0.22,-0.038555,4.5,-162,-112
0.225,-0.040221,4.5,-169,-112
0.23,-0.041649,4.5,-175,-124
0.235,-0.043077,4.5,-181,-124
0.24,-0.044505,4.5,-187,-124
0.245,-0.045933,4.5,-193,-124
0.25,-0.047598,4.5,-200,-103
0.255,-0.049026,4.5,-206,-103
0.26,-0.050692,4.5,-213,-103
0.265,-0.05212,4.5,-219,-112
0.27,-0.053786,4.5,-226,-112
0.275,-0.055214,4.5,-232,-112
0.28,-0.05688,4.5,-239,-112
0.285,-0.058308,4.5,-245,-124
0.29,-0.059974,4.5,-252,-124
0.295,-0.06164,4.5,-259,-124
0.3,-0.063068,4.5,-265,-103
0.305,-0.064734,4.5,-272,-103
0.31,-0.0664,4.5,-279,-103
0.315,-0.068066,4.5,-286,-103
0.32,-0.069732,4.5,-293,-120
0.325,-0.071398,4.5,-300,-120
0.33,-0.073064,4.5,-307,-120
0.335,-0.07473,4.5,-314,-103
0.34,-0.076396,4.5,-321,-103
0.345,-0.078062,4.5,-328,-103
