Time(s),h(m),V(V),Encoder,ADC
0,0,-8,0,1
0.005,-0.00023799,-8,-1,1
0.01,-0.00047598,-8,-2,1
0.015,-0.00071398,-8,-3,-263
0.02,-0.00119,-8,-5,-263
0.025,-0.0019039,-8,-8,-263
0.03,-0.0026179,-8,-11,-263
0.035,-0.0033319,-8,-14,-177
0.04,-0.0042839,-8,-18,-177
0.045,-0.0052358,-8,-22,-177
0.05,-0.0061878,-8,-26,-206
0.055,-0.0073778,-8,-31,-206
0.06,-0.0085677,-8,-36,-206
0.065,-0.0097577,-8,-41,-206
0.07,-0.011186,-8,-47,-172
0.075,-0.012376,-8,-52,-172
0.08,-0.013804,-8,-58,-172
0.085,-0.015232,-8,-64,-167
0.09,-0.016659,-8,-70,-167
0.095,-0.018087,-8,-76,-167
0.1,-0.019753,-8,-83,-167
0.105,-0.021181,-8,-89,-159
0.11,-0.022847,-8,-96,-159
0.115,-0.024275,-8,-102,-159
0.12,-0.025941,-8,-109,-127
0.125,-0.027607,-8,-116,-127
0.13,-0.029035,-8,-122,-127
0.135,-0.030701,-8,-129,-127
0.14,-0.032367,-8,-136,-156
0.145,-0.034033,-8,-143,-156
0.15,-0.035699,-8,-150,-156
0.155,-0.037365,-8,-157,-152
0.16,-0.039269,-8,-165,-152
0.165,-0.040935,-8,-172,-152
0.17,-0.042839,-8,-180,-152
0.175,-0.044505,-8,-187,-152
0.18,-0.046409,-8,-195,-152
0.185,-0.048074,-8,-202,-152
0.19,-0.049978,-8,-210,-152
0.195,-0.051882,-8,-218,-120
0.2,-0.053786,-8,-226,-120
0.205,-0.055928,-8,-235,-120
0.21,-0.057832,-8,-243,-99
0.215,-0.059974,-8,-252,-99
0.22,-0.061878,-8,-260,-99
0.225,-0.06402,-8,-269,-99
0.23,-0.066162,-8,-278,-112
0.235,-0.068304,-8,-287,-112
0.24,-0.070446,-8,-296,-112
0.245,-0.072588,-8,-305,-92
0.25,-0.07473,-8,-314,-92
0.255,-0.07711,-8,-324,-92
0.26,-0.079251,-8,-333,-92
0.265,-0.081631,-8,-343,-92
0.27,-0.083773,-8,-352,-92
0.275,-0.086153,-8,-362,-92
0.28,-0.088533,-8,-372,-96
0.285,-0.090913,-8,-382,-96
0.29,-0.093055,-8,-391,-96
0.295,-0.095435,-8,-401,-96
0.3,-0.097815,-8,-411,-112
0.305,-0.099957,-8,-420,-112
0.31,-0.10234,-8,-430,-112
0.315,-0.10472,-8,-440,-96
0.32,-0.1071,-8,-450,-96
0.325,-0.10948,-8,-460,-96
0.33,-0.11162,-8,-469,-96
0.335,-0.114,-8,-479,-83
0.34,-0.11638,-8,-489,-83
0.345,-0.11876,-8,-499,-83
0.35,-0.1209,-8,-508,-99
0.355,-0.12328,-8,-518,-99
0.36,-0.12566,-8,-528,-99
0.365,-0.12804,-8,-538,-99
0.37,-0.13018,-8,-547,-108
0.375,-0.13256,-8,-557,-108
0.38,-0.13494,-8,-567,-108
0.385,-0.13732,-8,-577,-108
0.39,-0.1397,-8,-587,-88
0.395,-0.14208,-8,-597,-88
0.4,-0.14446,-8,-607,-88
0.405,-0.14684,-8,-617,-99
0.41,-0.14922,-8,-627,-99
0.415,-0.1516,-8,-637,-99
0.42,-0.15398,-8,-647,-99
0.425,-0.15636,-8,-657,-96
0.43,-0.15898,-8,-668,-96
0.435,-0.16136,-8,-678,-96
0.44,-0.16374,-8,-688,-96
0.445,-0.16612,-8,-698,-96
0.45,-0.16874,-8,-709,-96
0.455,-0.17112,-8,-719,-96
0.46,-0.17373,-8,-730,-88
0.465,-0.17611,-8,-740,-88
0.47,-0.17873,-8,-751,-88
0.475,-0.18111,-8,-761,-92
0.48,-0.18373,-8,-772,-92
0.485,-0.18611,-8,-782,-92
0.49,-0.18849,-8,-792,-92
0.495,-0.19111,-8,-803,-92
0.5,-0.19373,-8,-814,-92
0.505,-0.19611,-8,-824,-92
0.51,-0.19849,-8,-834,-63
0.515,-0.2011,-8,-845,-63
0.52,-0.20348,-8,-855,-63
0.525,-0.2061,-8,-866,-63
0.53,-0.20848,-8,-876,-79
0.535,-0.2111,-8,-887,-79
0.54,-0.21348,-8,-897,-79
0.545,-0.2161,-8,-908,-71
0.55,-0.21848,-8,-918,-71
0.555,-0.22086,-8,-928,-71
0.56,-0.22347,-8,-939,-71
0.565,-0.22609,-8,-950,-81
0.57,-0.22847,-8,-960,-81
0.575,-0.23085,-8,-970,-81
0.58,-0.23347,-8,-981,-81
0.585,-0.23609,-8,-992,-88
0.59,-0.23847,-8,-1002,-88
0.595,-0.24085,-8,-1012,-88
0.6,-0.24347,-8,-1023,-92
0.605,-0.24608,-8,-1034,-92
0.61,-0.24846,-8,-1044,-92
0.615,-0.25108,-8,-1055,-92
0.62,-0.25346,-8,-1065,-96
0.625,-0.25608,-8,-1076,-96
0.63,-0.25846,-8,-1086,-96
0.635,-0.26108,-8,-1097,-78
