Time(s),h(m),V(V),Encoder,ADC
0,0,4,0,-1
0.005,0,4,0,-1
0.01,0,4,0,-167
0.015,-0.00023799,4,-1,-167
0.02,-0.00047598,4,-2,-167
0.025,-0.00047598,4,-2,-167
0.03,-0.00095197,4,-4,-176
0.035,-0.00119,4,-5,-176
0.04,-0.001428,4,-6,-176
0.045,-0.0019039,4,-8,-167
0.05,-0.0023799,4,-10,-167
0.055,-0.0028559,4,-12,-167
0.06,-0.0033319,4,-14,-167
0.065,-0.0038079,4,-16,-159
0.07,-0.0045219,4,-19,-159
0.075,-0.0049978,4,-21,-159
0.08,-0.0057118,4,-24,-156
0.085,-0.0064258,4,-27,-156
0.09,-0.0071398,4,-30,-156
0.095,-0.0078538,4,-33,-156
0.1,-0.0085677,4,-36,-152
0.105,-0.0092817,4,-39,-152
0.11,-0.0099957,4,-42,-152
0.115,-0.01071,4,-45,-152
0.12,-0.011424,4,-48,-152
0.125,-0.012376,4,-52,-152
0.13,-0.01309,4,-55,-152
0.135,-0.013804,4,-58,-152
0.14,-0.014756,4,-62,-152
0.145,-0.01547,4,-65,-152
0.15,-0.016421,4,-69,-152
0.155,-0.017135,4,-72,-152
0.16,-0.018087,4,-76,-152
0.165,-0.018801,4,-79,-152
0.17,-0.019515,4,-82,-143
0.175,-0.020467,4,-86,-143
0.18,-0.021181,4,-89,-143
0.185,-0.022133,4,-93,-152
0.19,-0.022847,4,-96,-152
0.195,-0.023799,4,-100,-152
0.2,-0.024513,4,-103,-152
0.205,-0.025465,4,-107,-152
0.21,-0.026179,4,-110,-152
0.215,-0.027131,4,-114,-152
0.22,-0.027845,4,-117,-152
0.225,-0.028797,4,-121,-152
0.23,-0.029749,4,-125,-152
0.235,-0.030701,4,-129,-152
0.24,-0.031415,4,-132,-152
0.245,-0.032367,4,-136,-152
0.25,-0.033319,4,-140,-152
0.255,-0.034271,4,-144,-152
0.26,-0.035223,4,-148,-143
0.265,-0.036175,4,-152,-143
0.27,-0.037127,4,-156,-143
0.275,-0.038079,4,-160,-143
0.28,-0.039269,4,-165,-143
0.285,-0.040221,4,-169,-143
0.29,-0.041411,4,-174,-143
0.295,-0.042363,4,-178,-142
0.3,-0.043315,4,-182,-142
0.305,-0.044505,4,-187,-142
0.31,-0.045457,4,-191,-127
0.315,-0.046647,4,-196,-127
0.32,-0.047598,4,-200,-127
0.325,-0.048788,4,-205,-127
0.33,-0.049978,4,-210,-127
0.335,-0.05093,4,-214,-127
0.34,-0.05212,4,-219,-127
0.345,-0.053072,4,-223,-143
0.35,-0.054262,4,-228,-143
0.355,-0.055452,4,-233,-143
0.36,-0.056404,4,-237,-143
0.365,-0.057594,4,-242,-127
0.37,-0.058546,4,-246,-127
0.375,-0.059736,4,-251,-127
0.38,-0.060926,4,-256,-127
0.385,-0.061878,4,-260,-127
0.39,-0.063068,4,-265,-127
0.395,-0.06402,4,-269,-127
0.4,-0.06521,4,-274,-127
0.405,-0.0664,4,-279,-127
0.41,-0.067352,4,-283,-127
0.415,-0.068542,4,-288,-127
0.42,-0.069732,4,-293,-127
0.425,-0.070684,4,-297,-127
0.43,-0.071874,4,-302,-127
0.435,-0.072826,4,-306,-127
0.44,-0.074016,4,-311,-127
0.445,-0.075206,4,-316,-127
0.45,-0.076396,4,-321,-127
0.455,-0.077586,4,-326,-127
0.46,-0.078538,4,-330,-127
0.465,-0.079727,4,-335,-127
0.47,-0.080917,4,-340,-127
0.475,-0.082107,4,-345,-127
0.48,-0.083297,4,-350,-127
0.485,-0.084487,4,-355,-127
0.49,-0.085677,4,-360,-126
0.495,-0.086867,4,-365,-126
0.5,-0.088057,4,-370,-126
0.505,-0.089247,4,-375,-124
0.51,-0.090437,4,-380,-124
0.515,-0.091627,4,-385,-124
0.52,-0.092817,4,-390,-124
0.525,-0.094007,4,-395,-127
0.53,-0.095197,4,-400,-127
0.535,-0.096387,4,-405,-127
0.54,-0.097577,4,-410,-127
0.545,-0.098767,4,-415,-127
0.55,-0.099957,4,-420,-127
0.555,-0.10115,4,-425,-127
0.56,-0.10234,4,-430,-127
0.565,-0.10376,4,-436,-127
0.57,-0.10495,4,-441,-127
0.575,-0.10614,4,-446,-127
0.58,-0.10733,4,-451,-127
0.585,-0.10852,4,-456,-127
0.59,-0.10971,4,-461,-127
0.595,-0.1109,4,-466,-127
0.6,-0.11209,4,-471,-127
0.605,-0.11328,4,-476,-127
0.61,-0.11447,4,-481,-127
0.615,-0.11566,4,-486,-127
0.62,-0.11685,4,-491,-127
0.625,-0.11804,4,-496,-127
0.63,-0.11947,4,-502,-127
0.635,-0.12066,4,-507,-127
0.64,-0.12185,4,-512,-127
0.645,-0.12304,4,-517,-127
0.65,-0.12423,4,-522,-127
0.655,-0.12542,4,-527,-127
0.66,-0.12661,4,-532,-127
0.665,-0.12804,4,-538,-127
0.67,-0.12923,4,-543,-127
0.675,-0.13042,4,-548,-127
0.68,-0.13161,4,-553,-127
0.685,-0.13304,4,-559,-127
0.69,-0.13423,4,-564,-127
0.695,-0.13542,4,-569,-127
0.7,-0.13661,4,-574,-127
0.705,-0.13804,4,-580,-127
0.71,-0.13923,4,-585,-127
0.715,-0.14065,4,-591,-127
0.72,-0.14184,4,-596,-127
0.725,-0.14303,4,-601,-127
0.73,-0.14446,4,-607,-127
0.735,-0.14565,4,-612,-127
0.74,-0.14684,4,-617,-127
0.745,-0.14827,4,-623,-127
0.75,-0.14946,4,-628,-127
0.755,-0.15089,4,-634,-124
0.76,-0.15208,4,-639,-124
0.765,-0.15327,4,-644,-124
0.77,-0.1547,4,-650,-124
0.775,-0.15589,4,-655,-124
0.78,-0.15708,4,-660,-124
0.785,-0.1585,4,-666,-124
0.79,-0.15969,4,-671,-127
0.795,-0.16088,4,-676,-127
0.8,-0.16231,4,-682,-127
0.805,-0.1635,4,-687,-127
0.81,-0.16469,4,-692,-127
0.815,-0.16612,4,-698,-127
0.82,-0.16731,4,-703,-127
0.825,-0.1685,4,-708,-127
0.83,-0.16993,4,-714,-127
0.835,-0.17112,4,-719,-127
0.84,-0.17231,4,-724,-127
0.845,-0.17373,4,-730,-127
0.85,-0.17492,4,-735,-127
0.855,-0.17635,4,-741,-127
0.86,-0.17754,4,-746,-120
0.865,-0.17897,4,-752,-120
0.87,-0.18016,4,-757,-120
0.875,-0.18135,4,-762,-120
0.88,-0.18278,4,-768,-124
0.885,-0.18397,4,-773,-124
0.89,-0.1854,4,-779,-124
0.895,-0.18659,4,-784,-127
0.9,-0.18801,4,-790,-127
0.905,-0.1892,4,-795,-127
0.91,-0.19063,4,-801,-127
0.915,-0.19182,4,-806,-103
0.92,-0.19325,4,-812,-103
0.925,-0.19444,4,-817,-103
0.93,-0.19587,4,-823,-127
0.935,-0.19706,4,-828,-127
0.94,-0.19849,4,-834,-127
0.945,-0.19968,4,-839,-127
0.95,-0.20087,4,-844,-127
0.955,-0.20229,4,-850,-127
0.96,-0.20348,4,-855,-127
0.965,-0.20491,4,-861,-127
0.97,-0.2061,4,-866,-127
0.975,-0.20729,4,-871,-127
0.98,-0.20872,4,-877,-127
0.985,-0.20991,4,-882,-120
0.99,-0.21134,4,-888,-120
0.995,-0.21253,4,-893,-120
