Time(s),h(m),V(V),Encoder,ADC
0,0,8,0,0.0386005
0.005,0,8,0,0.0386005
0.01,0.000238,8,1,0.0386005
0.015,0.000238,8,1,0.0386005
0.02,0.000476,8,2,0.0386005
0.025,0.000952,8,4,0.0386005
0.03,0.001428,8,6,0.0386005
0.035,0.001666,8,7,0.0386005
0.04,0.00238,8,10,0.0386005
0.045,0.002856,8,12,0.0386005
0.05,0.003332,8,14,0.0386005
0.055,0.004046,8,17,0.0386005
0.06,0.00476,8,20,0.0386005
0.065,0.005712,8,24,0.0386005
0.07,0.006664,8,28,0.0386005
0.075,0.007378,8,31,0.0386005
0.08,0.00833,8,35,0.0386005
0.085,0.00952,8,40,0.0386005
0.09,0.010472,8,44,0.0386005
0.095,0.011662,8,49,0.0386005
0.1,0.012852,8,54,4.0817
0.105,0.013804,8,58,4.0817
0.11,0.015232,8,64,4.0817
0.115,0.016422,8,69,4.0817
0.12,0.01785,8,75,4.0817
0.125,0.01904,8,80,4.0817
0.13,0.020468,8,86,4.0817
0.135,0.021896,8,92,4.0817
0.14,0.023324,8,98,4.0817
0.145,0.02499,8,105,4.0817
0.15,0.026418,8,111,4.0817
0.155,0.028084,8,118,4.0817
0.16,0.02975,8,125,4.0817
0.165,0.031416,8,132,4.0817
0.17,0.033082,8,139,4.0817
0.175,0.034748,8,146,4.0817
0.18,0.036652,8,154,4.0817
0.185,0.038318,8,161,4.0817
0.19,0.040222,8,169,4.0817
0.195,0.041888,8,176,4.0817
0.2,0.043792,8,184,4.0817
0.205,0.045696,8,192,2.93791
0.21,0.0476,8,200,2.93791
0.215,0.049504,8,208,2.93791
0.22,0.051408,8,216,2.93791
0.225,0.053312,8,224,2.93791
0.23,0.055454,8,233,2.93791
0.235,0.057358,8,241,2.93791
0.24,0.0595,8,250,2.93791
0.245,0.061404,8,258,2.93791
0.25,0.063546,8,267,2.93791
0.255,0.06545,8,275,2.93791
0.26,0.067592,8,284,2.93791
0.265,0.069734,8,293,2.93791
0.27,0.071876,8,302,2.93791
0.275,0.074018,8,311,2.93791
0.28,0.07616,8,320,2.93791
0.285,0.078302,8,329,2.93791
0.29,0.080444,8,338,2.93791
0.295,0.082824,8,348,2.93791
0.3,0.084966,8,357,2.93791
0.305,0.087346,8,367,2.93791
0.31,0.089488,8,376,2.18627
0.315,0.091868,8,386,2.18627
0.32,0.09401,8,395,2.18627
0.325,0.09639,8,405,2.18627
0.33,0.09877,8,415,2.18627
0.335,0.10091,8,424,2.18627
0.34,0.10329,8,434,2.18627
0.345,0.10567,8,444,2.18627
0.35,0.10805,8,454,2.18627
0.355,0.11043,8,464,2.18627
0.36,0.11281,8,474,2.18627
0.365,0.11519,8,484,2.18627
0.37,0.11781,8,495,2.18627
0.375,0.12019,8,505,2.18627
0.38,0.12257,8,515,2.18627
0.385,0.12495,8,525,2.18627
0.39,0.12757,8,536,2.18627
0.395,0.12995,8,546,2.18627
0.4,0.13233,8,556,2.18627
0.405,0.13495,8,567,2.18627
0.41,0.13733,8,577,2.18627
0.415,0.13994,8,588,1.72549
0.42,0.14232,8,598,1.72549
0.425,0.14494,8,609,1.72549
0.43,0.14732,8,619,1.72549
0.435,0.14994,8,630,1.72549
0.44,0.15232,8,640,1.72549
0.445,0.15494,8,651,1.72549
0.45,0.15756,8,662,1.72549
0.455,0.16017,8,673,1.72549
0.46,0.16279,8,684,1.72549
0.465,0.16517,8,694,1.72549
0.47,0.16779,8,705,1.72549
0.475,0.17041,8,716,1.72549
0.48,0.17303,8,727,1.72549
0.485,0.17564,8,738,1.72549
0.49,0.17826,8,749,1.72549
0.495,0.18088,8,760,1.72549
0.5,0.1835,8,771,1.72549
0.505,0.18612,8,782,1.72549
0.51,0.18873,8,793,1.72549
0.515,0.19135,8,804,1.72549
0.52,0.19397,8,815,1.72549
0.525,0.19659,8,826,1.26144
0.53,0.19921,8,837,1.26144
0.535,0.20182,8,848,1.26144
0.54,0.20468,8,860,1.26144
0.545,0.2073,8,871,1.26144
0.55,0.20992,8,882,1.26144
0.555,0.21253,8,893,1.26144
0.56,0.21515,8,904,1.26144
0.565,0.21777,8,915,1.26144
0.57,0.22039,8,926,1.26144
