Time(s),h(m),V(V),Encoder,ADC
0,0,-8,0,0.0196078
0.005,0,-8,0,0.0196078
0.01,-0.000238,-8,-1,0.0196078
0.015,-0.000238,-8,-1,0.0196078
0.02,-0.000714,-8,-3,0.0196078
0.025,-0.000952,-8,-4,0.0196078
0.03,-0.001428,-8,-6,0.0196078
0.035,-0.001904,-8,-8,0.0196078
0.04,-0.00238,-8,-10,0.0196078
0.045,-0.003094,-8,-13,0.0196078
0.05,-0.00357,-8,-15,0.0196078
0.055,-0.004284,-8,-18,0.0196078
0.06,-0.005236,-8,-22,0.0196078
0.065,-0.00595,-8,-25,0.0196078
0.07,-0.006902,-8,-29,0.0196078
0.075,-0.007616,-8,-32,0.0196078
0.08,-0.008806,-8,-37,0.0196078
0.085,-0.009758,-8,-41,0.0196078
0.09,-0.01071,-8,-45,0.0196078
0.095,-0.0119,-8,-50,-4.23529
0.1,-0.012852,-8,-54,-4.23529
0.105,-0.014042,-8,-59,-4.23529
0.11,-0.015232,-8,-64,-4.23529
0.115,-0.016422,-8,-69,-4.23529
0.12,-0.017612,-8,-74,-4.23529
0.125,-0.018802,-8,-79,-4.23529
0.13,-0.019992,-8,-84,-4.23529
0.135,-0.02142,-8,-90,-4.23529
0.14,-0.02261,-8,-95,-4.23529
0.145,-0.0238,-8,-100,-4.23529
0.15,-0.025228,-8,-106,-4.23529
0.155,-0.026418,-8,-111,-4.23529
0.16,-0.027846,-8,-117,-4.23529
0.165,-0.029036,-8,-122,-4.23529
0.17,-0.030464,-8,-128,-4.23529
0.175,-0.031892,-8,-134,-4.23529
0.18,-0.03332,-8,-140,-4.23529
0.185,-0.034748,-8,-146,-4.23529
0.19,-0.035938,-8,-151,-4.23529
0.195,-0.037366,-8,-157,-4.23529
0.2,-0.039032,-8,-164,-4.23529
0.205,-0.04046,-8,-170,-3.06863
0.21,-0.041888,-8,-176,-3.06863
0.215,-0.043316,-8,-182,-3.06863
0.22,-0.044982,-8,-189,-3.06863
0.225,-0.046648,-8,-196,-3.06863
0.23,-0.048076,-8,-202,-3.06863
0.235,-0.049742,-8,-209,-3.06863
0.24,-0.051408,-8,-216,-3.06863
0.245,-0.053074,-8,-223,-3.06863
0.25,-0.05474,-8,-230,-3.06863
0.255,-0.056644,-8,-238,-3.06863
0.26,-0.05831,-8,-245,-3.06863
0.265,-0.059976,-8,-252,-3.06863
0.27,-0.06188,-8,-260,-3.06863
0.275,-0.063784,-8,-268,-3.06863
0.28,-0.06545,-8,-275,-3.06863
0.285,-0.067354,-8,-283,-3.06863
0.29,-0.069258,-8,-291,-3.06863
0.295,-0.071162,-8,-299,-3.06863
0.3,-0.072828,-8,-306,-3.06863
0.305,-0.074732,-8,-314,-3.06863
0.31,-0.076636,-8,-322,-2.65686
0.315,-0.07854,-8,-330,-2.65686
0.32,-0.080444,-8,-338,-2.65686
0.325,-0.082348,-8,-346,-2.65686
0.33,-0.084252,-8,-354,-2.65686
0.335,-0.086156,-8,-362,-2.65686
0.34,-0.08806,-8,-370,-2.65686
0.345,-0.090202,-8,-379,-2.65686
0.35,-0.092106,-8,-387,-2.65686
0.355,-0.09401,-8,-395,-2.65686
0.36,-0.095914,-8,-403,-2.65686
0.365,-0.097818,-8,-411,-2.65686
0.37,-0.099722,-8,-419,-2.65686
0.375,-0.10163,-8,-427,-2.65686
0.38,-0.10377,-8,-436,-2.65686
0.385,-0.10567,-8,-444,-2.65686
0.39,-0.10758,-8,-452,-2.65686
0.395,-0.10948,-8,-460,-2.65686
0.4,-0.11138,-8,-468,-2.65686
0.405,-0.11353,-8,-477,-2.65686
0.41,-0.11543,-8,-485,-2.65686
0.415,-0.11757,-8,-494,-2.45098
0.42,-0.11948,-8,-502,-2.45098
0.425,-0.12138,-8,-510,-2.45098
0.43,-0.12352,-8,-519,-2.45098
0.435,-0.12566,-8,-528,-2.45098
0.44,-0.12757,-8,-536,-2.45098
0.445,-0.12971,-8,-545,-2.45098
0.45,-0.13161,-8,-553,-2.45098
0.455,-0.13376,-8,-562,-2.45098
0.46,-0.1359,-8,-571,-2.45098
0.465,-0.13804,-8,-580,-2.45098
0.47,-0.13994,-8,-588,-2.45098
0.475,-0.14209,-8,-597,-2.45098
0.48,-0.14423,-8,-606,-2.45098
0.485,-0.14637,-8,-615,-2.45098
0.49,-0.14851,-8,-624,-2.45098
0.495,-0.15065,-8,-633,-2.45098
0.5,-0.1528,-8,-642,-2.45098
0.505,-0.15494,-8,-651,-2.45098
0.51,-0.15708,-8,-660,-2.45098
0.515,-0.15922,-8,-669,-2.45098
0.52,-0.16136,-8,-678,-2.45098
0.525,-0.16327,-8,-686,-2.15686
0.53,-0.16565,-8,-696,-2.15686
0.535,-0.16755,-8,-704,-2.15686
0.54,-0.16993,-8,-714,-2.15686
0.545,-0.17184,-8,-722,-2.15686
0.55,-0.17422,-8,-732,-2.15686
0.555,-0.17636,-8,-741,-2.15686
0.56,-0.1785,-8,-750,-2.15686
0.565,-0.18064,-8,-759,-2.15686
0.57,-0.18278,-8,-768,-2.15686
0.575,-0.18493,-8,-777,-2.15686
0.58,-0.18707,-8,-786,-2.15686
0.585,-0.18921,-8,-795,-2.15686
0.59,-0.19135,-8,-804,-2.15686
0.595,-0.19349,-8,-813,-2.15686
0.6,-0.19564,-8,-822,-2.15686
0.605,-0.19778,-8,-831,-2.15686
0.61,-0.19992,-8,-840,-2.15686
0.615,-0.2023,-8,-850,-2.15686
0.62,-0.20444,-8,-859,-2.15686
0.625,-0.20658,-8,-868,-2.15686
