Time(s),h(m),V(V),Encoder,ADC
0,0,8,0,0.022376
0.005,0,8,0,0.022376
0.01,-0.000238,8,-1,0.022376
0.015,-0.000238,8,-1,0.022376
0.02,-0.000476,8,-2,0.022376
0.025,-0.000952,8,-4,0.022376
0.03,-0.00119,8,-5,0.022376
0.035,-0.001666,8,-7,0.022376
0.04,-0.00238,8,-10,0.022376
0.045,-0.003094,8,-13,0.022376
0.05,-0.003808,8,-16,0.022376
0.055,-0.004522,8,-19,0.022376
0.06,-0.005474,8,-23,0.022376
0.065,-0.006188,8,-26,0.022376
0.07,-0.00714,8,-30,0.022376
0.075,-0.008092,8,-34,0.022376
0.08,-0.009282,8,-39,0.022376
0.085,-0.010234,8,-43,0.022376
0.09,-0.011424,8,-48,0.022376
0.095,-0.012614,8,-53,0.022376
0.1,-0.013804,8,-58,3.39869
0.105,-0.014994,8,-63,3.39869
0.11,-0.016184,8,-68,3.39869
0.115,-0.017374,8,-73,3.39869
0.12,-0.018802,8,-79,3.39869
0.125,-0.019992,8,-84,3.39869
0.13,-0.021182,8,-89,3.39869
0.135,-0.02261,8,-95,3.39869
0.14,-0.024038,8,-101,3.39869
0.145,-0.025466,8,-107,3.39869
0.15,-0.026656,8,-112,3.39869
0.155,-0.028084,8,-118,3.39869
0.16,-0.029512,8,-124,3.39869
0.165,-0.03094,8,-130,3.39869
0.17,-0.032368,8,-136,3.39869
0.175,-0.033796,8,-142,3.39869
0.18,-0.035224,8,-148,3.39869
0.185,-0.036652,8,-154,3.39869
0.19,-0.038318,8,-161,3.39869
0.195,-0.039746,8,-167,3.39869
0.2,-0.041412,8,-174,3.39869
0.205,-0.04284,8,-180,2.68954
0.21,-0.044506,8,-187,2.68954
0.215,-0.046172,8,-194,2.68954
0.22,-0.0476,8,-200,2.68954
0.225,-0.049266,8,-207,2.68954
0.23,-0.05117,8,-215,2.68954
0.235,-0.052836,8,-222,2.68954
0.24,-0.054502,8,-229,2.68954
0.245,-0.056168,8,-236,2.68954
0.25,-0.058072,8,-244,2.68954
0.255,-0.059738,8,-251,2.68954
0.26,-0.061642,8,-259,2.68954
0.265,-0.063546,8,-267,2.68954
0.27,-0.06545,8,-275,2.68954
0.275,-0.067354,8,-283,2.68954
0.28,-0.069258,8,-291,2.68954
0.285,-0.071162,8,-299,2.68954
0.29,-0.073066,8,-307,2.68954
0.295,-0.07497,8,-315,2.68954
0.3,-0.076874,8,-323,2.68954
0.305,-0.079016,8,-332,2.68954
0.31,-0.08092,8,-340,2.17974
0.315,-0.083062,8,-349,2.17974
0.32,-0.084966,8,-357,2.17974
0.325,-0.08687,8,-365,2.17974
0.33,-0.089012,8,-374,2.17974
0.335,-0.090916,8,-382,2.17974
0.34,-0.093058,8,-391,2.17974
0.345,-0.094962,8,-399,2.17974
0.35,-0.097104,8,-408,2.17974
