Time(s),h(m),V(V),Encoder,ADC
0,0,-8,0,-0.018762
0.005,0,-8,0,-0.018762
0.01,0,-8,0,-0.018762
0.015,0.000238,-8,1,-0.018762
0.02,0.000476,-8,2,-0.018762
0.025,0.000714,-8,3,-0.018762
0.03,0.00119,-8,5,-0.018762
0.035,0.001666,-8,7,-0.018762
0.04,0.00238,-8,10,-0.018762
0.045,0.002856,-8,12,-0.018762
0.05,0.00357,-8,15,-0.018762
0.055,0.004522,-8,19,-0.018762
0.06,0.005236,-8,22,-0.018762
0.065,0.006188,-8,26,-0.018762
0.07,0.00714,-8,30,-0.018762
0.075,0.008092,-8,34,-0.018762
0.08,0.009044,-8,38,-0.018762
0.085,0.010234,-8,43,-0.018762
0.09,0.011424,-8,48,-0.018762
0.095,0.012614,-8,53,-0.018762
0.1,0.013566,-8,57,-0.018762
0.105,0.014756,-8,62,-0.018762
0.11,0.016184,-8,68,-3.47712
0.115,0.017374,-8,73,-3.47712
0.12,0.018564,-8,78,-3.47712
0.125,0.019992,-8,84,-3.47712
0.13,0.021182,-8,89,-3.47712
0.135,0.02261,-8,95,-3.47712
0.14,0.0238,-8,100,-3.47712
0.145,0.025228,-8,106,-3.47712
0.15,0.026418,-8,111,-3.47712
0.155,0.027846,-8,117,-3.47712
0.16,0.029274,-8,123,-3.47712
0.165,0.030464,-8,128,-3.47712
0.17,0.031892,-8,134,-3.47712
0.175,0.03332,-8,140,-3.47712
0.18,0.03451,-8,145,-3.47712
0.185,0.035938,-8,151,-3.47712
0.19,0.037366,-8,157,-3.47712
0.195,0.038794,-8,163,-3.47712
0.2,0.040222,-8,169,-3.47712
0.205,0.041412,-8,174,-3.47712
0.21,0.04284,-8,180,-3.47712
0.215,0.044268,-8,186,-2.85294
0.22,0.045696,-8,192,-2.85294
0.225,0.047124,-8,198,-2.85294
0.23,0.048552,-8,204,-2.85294
0.235,0.04998,-8,210,-2.85294
0.24,0.051646,-8,217,-2.85294
0.245,0.053074,-8,223,-2.85294
0.25,0.054502,-8,229,-2.85294
0.255,0.05593,-8,235,-2.85294
0.26,0.057596,-8,242,-2.85294
0.265,0.059262,-8,249,-2.85294
0.27,0.06069,-8,255,-2.85294
0.275,0.062356,-8,262,-2.85294
0.28,0.064022,-8,269,-2.85294
0.285,0.065688,-8,276,-2.85294
0.29,0.067354,-8,283,-2.85294
0.295,0.06902,-8,290,-2.85294
0.3,0.070686,-8,297,-2.85294
0.305,0.072352,-8,304,-2.85294
0.31,0.074018,-8,311,-2.85294
0.315,0.075922,-8,319,-2.85294
0.32,0.077588,-8,326,-2.48366
0.325,0.079254,-8,333,-2.48366
0.33,0.081158,-8,341,-2.48366
0.335,0.082824,-8,348,-2.48366
0.34,0.084728,-8,356,-2.48366
0.345,0.086632,-8,364,-2.48366
0.35,0.088298,-8,371,-2.48366
0.355,0.090202,-8,379,-2.48366
0.36,0.092106,-8,387,-2.48366
0.365,0.093772,-8,394,-2.48366
0.37,0.095676,-8,402,-2.48366
0.375,0.097342,-8,409,-2.48366
0.38,0.099246,-8,417,-2.48366
0.385,0.10115,-8,425,-2.48366
0.39,0.10305,-8,433,-2.48366
0.395,0.10472,-8,440,-2.48366
0.4,0.10662,-8,448,-2.48366
0.405,0.10853,-8,456,-2.48366
0.41,0.11019,-8,463,-2.48366
0.415,0.1121,-8,471,-2.48366
0.42,0.114,-8,479,-2.48366
0.425,0.11567,-8,486,-2.28105
0.43,0.11757,-8,494,-2.28105
0.435,0.11948,-8,502,-2.28105
0.44,0.12114,-8,509,-2.28105
0.445,0.12305,-8,517,-2.28105
0.45,0.12495,-8,525,-2.28105
0.455,0.12685,-8,533,-2.28105
0.46,0.12852,-8,540,-2.28105
0.465,0.13042,-8,548,-2.28105
0.47,0.13233,-8,556,-2.28105
0.475,0.13423,-8,564,-2.28105
0.48,0.13614,-8,572,-2.28105
0.485,0.1378,-8,579,-2.28105
0.49,0.13971,-8,587,-2.28105
0.495,0.14161,-8,595,-2.28105
0.5,0.14351,-8,603,-2.28105
0.505,0.14542,-8,611,-2.28105
0.51,0.14756,-8,620,-2.28105
0.515,0.14946,-8,628,-2.28105
0.52,0.15137,-8,636,-2.28105
0.525,0.15327,-8,644,-2.28105
0.53,0.15518,-8,652,-2.28105
0.535,0.15732,-8,661,-2.2451
0.54,0.15922,-8,669,-2.2451
0.545,0.16113,-8,677,-2.2451
0.55,0.16327,-8,686,-2.2451
0.555,0.16517,-8,694,-2.2451
0.56,0.16731,-8,703,-2.2451
0.565,0.16922,-8,711,-2.2451
0.57,0.17112,-8,719,-2.2451
0.575,0.17326,-8,728,-2.2451
0.58,0.17517,-8,736,-2.2451
0.585,0.17731,-8,745,-2.2451
0.59,0.17921,-8,753,-2.2451
0.595,0.18112,-8,761,-2.2451
0.6,0.18326,-8,770,-2.2451
0.605,0.18516,-8,778,-2.2451
0.61,0.18731,-8,787,-2.2451
0.615,0.18921,-8,795,-2.2451
0.62,0.19111,-8,803,-2.2451
0.625,0.19326,-8,812,-2.2451
0.63,0.19516,-8,820,-2.2451
0.635,0.19706,-8,828,-2.2451
0.64,0.19921,-8,837,-2.20261
0.645,0.20111,-8,845,-2.20261
0.65,0.20301,-8,853,-2.20261
0.655,0.20516,-8,862,-2.20261
0.66,0.20706,-8,870,-2.20261
0.665,0.20896,-8,878,-2.20261
0.67,0.21111,-8,887,-2.20261
0.675,0.21301,-8,895,-2.20261
0.68,0.21491,-8,903,-2.20261
0.685,0.21682,-8,911,-2.20261
0.69,0.21896,-8,920,-2.20261
0.695,0.22086,-8,928,-2.20261
0.7,0.22277,-8,936,-2.20261
0.705,0.22491,-8,945,-2.20261
0.71,0.22681,-8,953,-2.20261
0.715,0.22896,-8,962,-2.20261
0.72,0.23086,-8,970,-2.20261
0.725,0.23276,-8,978,-2.20261
0.73,0.23491,-8,987,-2.20261
0.735,0.23681,-8,995,-2.20261
0.74,0.23895,-8,1004,-2.20261
0.745,0.24086,-8,1012,-1.90196
0.75,0.243,-8,1021,-1.90196
0.755,0.2449,-8,1029,-1.90196
0.76,0.24704,-8,1038,-1.90196
0.765,0.24895,-8,1046,-1.90196
0.77,0.25109,-8,1055,-1.90196
0.775,0.25299,-8,1063,-1.90196
0.78,0.25514,-8,1072,-1.90196
0.785,0.25704,-8,1080,-1.90196
0.79,0.25918,-8,1089,-1.90196
0.795,0.26109,-8,1097,-1.90196
0.8,0.26323,-8,1106,-1.90196
0.805,0.26513,-8,1114,-1.90196
0.81,0.26727,-8,1123,-1.90196
0.815,0.26918,-8,1131,-1.90196
0.82,0.27132,-8,1140,-1.90196
0.825,0.27346,-8,1149,-1.90196
0.83,0.27537,-8,1157,-1.90196
0.835,0.27727,-8,1165,-1.90196
0.84,0.27941,-8,1174,-1.90196
0.845,0.28132,-8,1182,-1.90196
0.85,0.28346,-8,1191,-2.13725
0.855,0.28536,-8,1199,-2.13725
0.86,0.2875,-8,1208,-2.13725
0.865,0.28941,-8,1216,-2.13725
0.87,0.29155,-8,1225,-2.13725
0.875,0.29345,-8,1233,-2.13725
0.88,0.29536,-8,1241,-2.13725
0.885,0.2975,-8,1250,-2.13725
0.89,0.2994,-8,1258,-2.13725
0.895,0.30155,-8,1267,-2.13725
0.9,0.30345,-8,1275,-2.13725
0.905,0.30559,-8,1284,-2.13725
0.91,0.3075,-8,1292,-2.13725
0.915,0.30964,-8,1301,-2.13725
0.92,0.31154,-8,1309,-2.13725
0.925,0.31368,-8,1318,-2.13725
0.93,0.31583,-8,1327,-2.13725
0.935,0.31773,-8,1335,-2.13725
0.94,0.31987,-8,1344,-2.13725
0.945,0.32201,-8,1353,-2.13725
0.95,0.32392,-8,1361,-2.13725
0.955,0.32606,-8,1370,-2.13725
0.96,0.3282,-8,1379,-1.90196
0.965,0.33011,-8,1387,-1.90196
0.97,0.33225,-8,1396,-1.90196
0.975,0.33439,-8,1405,-1.90196
0.98,0.33629,-8,1413,-1.90196
0.985,0.33844,-8,1422,-1.90196
0.99,0.34058,-8,1431,-1.90196
0.995,0.34248,-8,1439,-1.90196
1,0.34462,-8,1448,-1.90196
1.005,0.34677,-8,1457,-1.90196
1.01,0.34867,-8,1465,-1.90196
1.015,0.35081,-8,1474,-1.90196
1.02,0.35295,-8,1483,-1.90196
1.025,0.35486,-8,1491,-1.90196
1.03,0.357,-8,1500,-1.90196
1.035,0.3589,-8,1508,-1.90196
1.04,0.36105,-8,1517,-1.90196
1.045,0.36295,-8,1525,-1.90196
1.05,0.36509,-8,1534,-1.90196
1.055,0.36723,-8,1543,-1.90196
1.06,0.36914,-8,1551,-1.90196
1.065,0.37128,-8,1560,-2.04902
1.07,0.37318,-8,1568,-2.04902
1.075,0.37533,-8,1577,-2.04902
1.08,0.37723,-8,1585,-2.04902
1.085,0.37937,-8,1594,-2.04902
1.09,0.38128,-8,1602,-2.04902
1.095,0.38342,-8,1611,-2.04902
1.1,0.38556,-8,1620,-2.04902
1.105,0.38746,-8,1628,-2.04902
1.11,0.38961,-8,1637,-2.04902
1.115,0.39151,-8,1645,-2.04902
1.12,0.39365,-8,1654,-2.04902
1.125,0.39579,-8,1663,-2.04902
1.13,0.3977,-8,1671,-2.04902
1.135,0.39984,-8,1680,-2.04902
1.14,0.40198,-8,1689,-2.04902
1.145,0.40388,-8,1697,-2.04902
1.15,0.40603,-8,1706,-2.04902
1.155,0.40817,-8,1715,-2.04902
1.16,0.41007,-8,1723,-2.04902
1.165,0.41221,-8,1732,-2.04902
1.17,0.41412,-8,1740,-1.99673
1.175,0.41626,-8,1749,-1.99673
1.18,0.4184,-8,1758,-1.99673
1.185,0.42031,-8,1766,-1.99673
1.19,0.42245,-8,1775,-1.99673
1.195,0.42459,-8,1784,-1.99673
1.2,0.42649,-8,1792,-1.99673
1.205,0.42864,-8,1801,-1.99673
1.21,0.43078,-8,1810,-1.99673
1.215,0.43268,-8,1818,-1.99673
1.22,0.43482,-8,1827,-1.99673
1.225,0.43673,-8,1835,-1.99673
1.23,0.43887,-8,1844,-1.99673
1.235,0.44101,-8,1853,-1.99673
1.24,0.44292,-8,1861,-1.99673
1.245,0.44506,-8,1870,-1.99673
1.25,0.44696,-8,1878,-1.99673
1.255,0.4491,-8,1887,-1.99673
1.26,0.45101,-8,1895,-1.99673
1.265,0.45315,-8,1904,-1.99673
1.27,0.45529,-8,1913,-1.99673
1.275,0.4572,-8,1921,-1.99673
1.28,0.45934,-8,1930,-1.96732
1.285,0.46124,-8,1938,-1.96732
1.29,0.46338,-8,1947,-1.96732
1.295,0.46553,-8,1956,-1.96732
1.3,0.46743,-8,1964,-1.96732
1.305,0.46957,-8,1973,-1.96732
1.31,0.47171,-8,1982,-1.96732
1.315,0.47362,-8,1990,-1.96732
1.32,0.47576,-8,1999,-1.96732
1.325,0.4779,-8,2008,-1.96732
1.33,0.47981,-8,2016,-1.96732
1.335,0.48195,-8,2025,-1.96732
1.34,0.48409,-8,2034,-1.96732
1.345,0.48599,-8,2042,-1.96732
1.35,0.48814,-8,2051,-1.96732
1.355,0.49028,-8,2060,-1.96732
1.36,0.49242,-8,2069,-1.96732
1.365,0.49432,-8,2077,-1.96732
1.37,0.49647,-8,2086,-1.96732
1.375,0.49861,-8,2095,-1.96732
